	H800_swab_1	H800_swab_2	H801_swab_1	H802_swab_1	H802_swab_2	H803_swab_1	H803_swab_2	H804_swab_1	H804_swab_4	H805_swab_1	H805_swab_2	H806_swab_1	H806_swab_2	H807_swab_1	H807_swab_2	H809_swab_1	H809_swab_2	H810_swab_1	H813_swab_3	H813_swab_4	H814_chip	H814_chip_2	H815_chip	H817_chip	H817_swab_1	H817_swab_2	H818_swab_1	H818_swab_2	H819_swab_1	H819_swab_2	H820_swab_1	H820_swab_2	H821_chip	H821_swab_1	H821_swab_2	H822_swab_1	H822_swab_2	H823_chip	H823_swab_1	H825_swab_1	H825_swab_2	H827_chip	H827_swab_1	H827_swab_2	H831_chip	H831_chip_2	H831_swab_1	H831_swab_2	H833_swab_1	H834_swab_1	H834_swab_2	H835_chip	H835_chip_2	H837_swab_1	H837_swab_2	H838_chip	H840_chip	H840_swab_1	H840_swab_2	H841_chip	H841_swab_1	H841_swab_2
Cell Envelope	6611.1448964325	6073.84152712812	6732.41458272559	2602.26612184427	3354.44936001133	3685.4755711156	5511.42980843689	4451.93036062646	5591.36863828306	6022.15456627629	8506.53165304356	7713.1800768972	8504.64190333766	5114.16600332862	4323.24848546181	1275.10031826726	9411.99605504237	6730.75270354984	3373.7180631909	3207.59130647406	6590.47120982513	5813.51694940338	6795.07388088972	5660.90434736047	2400.84693988533	4113.66484063676	2369.9161888509	2634.60943964047	1926.23154040669	5190.31993820541	2443.69740591298	1628.80078873127	5270.99637535968	3350.45966631787	4819.86253073732	2986.1375570082	3894.58942934092	6691.32069953215	5184.58360683402	4742.40467522819	3115.55468970244	4408.04506639656	2131.48409118535	2456.86326335555	4195.87479319077	6647.66735036196	3351.00194870031	4116.2802704538	7357.32483120976	4781.9874858969	4741.47361702912	6999.32715408559	6852.53611726954	4009.77141877656	3848.79011173189	6039.53358111763	5018.61835464685	11422.3460834932	9732.76317172223	5180.01235948448	8950.34105577488	7469.64064532597
Cellular Processes	20368.5867585398	14482.6665637785	22284.8135462183	4467.35202909307	6052.96111728425	5941.75604429703	19019.131080698	8056.42060774741	14136.1425663526	18021.3836497169	18548.360869932	22950.8402514436	23056.5734481718	19771.6433411296	21496.2462405159	3204.18764345468	15455.1663498041	14652.4881867137	6463.67888762935	5860.01318890702	14181.1649810521	13774.702345294	13273.5078762024	10187.8234443959	5617.50220250584	7135.66509719493	9341.32290546421	3331.149434645	4473.70765397507	10908.7662179334	9333.17977368345	3190.34041696329	12544.1003631813	6978.48407546656	16568.7521966685	4928.40081780188	6490.99525403224	13314.3699154033	9137.41622989817	9883.52430233904	5971.46876747321	8103.21150677504	13066.4972569341	6797.94825747294	9195.414128108	13949.0626916885	16156.1071079892	22706.2191847547	24265.1186125162	9741.85305029328	11142.8734857314	15451.9922927879	14893.3198251547	3691.27412125035	4176.91056281485	13404.777859243	11112.4432196769	16178.053394464	19609.1033949844	10105.4214035463	17790.7013827563	16903.1547479784
DNA Processing	16924.0414138831	13350.2101164839	19004.0605284916	5870.69304602597	8466.47741905024	15824.0876340562	17128.1345794748	9300.13561947568	14989.1991724935	16790.7476261241	17960.8979007085	20480.3007589955	18710.2482141028	17674.3757117302	18649.5091768005	3987.25055494659	13553.2300527982	13347.3061852081	7025.14952790792	6985.56985253091	22350.7684792268	20172.3043222144	19697.4180809133	16170.9831060722	7299.12871714356	8762.95637742174	7895.07099673741	10369.0809187174	5141.44469065917	10159.4085812473	8168.78602192237	3852.23294290871	20322.2028944998	7068.96272425149	12137.1316129817	7585.1340823144	9454.09284085202	21697.2576958407	10567.5755745825	15398.9972915078	9553.19073859934	19305.9105632257	8182.45731796302	6231.48400630019	19430.2651078544	13721.3808030085	11748.7710466774	16126.3953195198	19067.4653408953	14860.1092822261	17128.6295988836	24911.1405451588	25164.4446020745	16056.1538996102	15759.999049585	23553.8104378124	19915.505705093	14901.0095989669	15833.0442568384	19456.6437895144	16906.0012533784	16024.4181238965
Energy	35867.1673570187	29319.8683981157	40066.2047818157	24249.7532888438	24737.2932460812	23482.2750811618	24625.6813323085	27741.4723054699	30621.6598604511	27004.833251222	31932.769941726	30737.6929565777	30643.9598149112	25185.8969045496	23694.4787093035	20655.7680903746	26740.6673621528	30691.7609026001	21310.5329649149	25263.0004694214	38878.2850829723	33748.1734192665	37422.6162589895	29057.2991425936	19884.9716692076	25025.4769142518	20113.386131368	18619.0251650286	21070.1616351787	26472.1279399762	20490.1906313734	19204.2761217255	38050.7118130579	24370.0809055171	24960.5458053816	24122.8874707137	25445.4512612882	38275.9026300799	26875.2087665891	31022.3901824014	26897.5845352655	30202.8717578542	22896.5672135661	27039.5287173659	31553.9409407761	28112.0098809275	20579.417795668	21420.6367841985	28095.088413383	34696.4593929044	37145.1477537897	40932.6083491011	40909.4851780128	21932.5562657304	22496.3445256115	40226.6795215922	36538.605342824	30728.9170986037	31776.8161475556	32940.0039515332	30974.6578830624	30900.450038483
Membrane Transport	24494.3405453892	17174.5655432102	26755.0669737301	4283.59842917511	6320.56065824715	6559.07052894533	29989.990986792	9132.70919316657	16074.9425164147	23874.9289688828	29133.2399462574	24229.7349686627	25020.5860137847	13885.1116402463	13600.7254331661	2125.474888305	25683.0438718051	25080.074994451	6808.31663282546	6213.4252381071	11495.7977520132	12282.6745221815	10047.2362245488	7249.16681850403	5571.24489508069	7811.69114832773	7887.67500747674	3319.8694720957	3908.44883544318	16999.4391589269	6232.15585480245	2835.31808881578	9321.30569496099	8647.08884280614	18101.2705419514	5408.22595746723	7675.46788680423	11628.4060237858	10937.1556061423	10107.6689736735	5576.64252659072	5630.2944322229	8224.16566147738	7517.50675665135	7679.13990888631	25197.1946412932	11812.8058501105	16142.2717537068	24448.3713046996	8209.96665592526	8663.52673662209	11742.9450859267	12082.7974780622	3680.74124168994	4359.73948749678	9166.82125386851	8503.74348248196	28544.8597009075	30563.9521713921	8032.93063258798	28722.2586912111	34597.6270179404
Metabolism	96717.1932760727	76857.5029004379	102172.526605835	47271.3363101852	50888.8854749605	70528.0142896853	77639.7220476514	58730.3695657553	83349.5268589718	81204.3558117145	91985.4196043993	94211.5612528785	102152.086962438	75012.2714658919	72136.2267800764	35437.3447542506	92218.8601360932	92290.6734335566	48402.450568963	44735.8014225185	107795.04335646	97428.3748139475	98928.4140397669	85948.3173657816	48216.473648048	55145.679061586	50968.3905019225	50763.7043286232	40778.1304091295	74660.5027607764	49656.4916516327	34314.2878094275	107383.441156013	52224.1690299813	77713.1809779857	47933.6997008884	57351.8004858096	105851.937965482	64101.8189139205	81456.2350614265	60386.9535630778	83667.32389546	47208.2302778755	44525.1610062157	93391.4163393001	77016.5920158946	64853.0780046952	81556.7718051483	86054.3120509296	81732.8093207307	91830.7091196462	115190.050357164	116150.813721658	68725.8958981123	71178.4002353455	108697.413685509	103199.56481144	90007.3540315142	95176.1140207193	91637.1002823174	93908.0217462908	89709.9982110296
Miscellaneous	3866.08865322344	2510.76860610376	4349.72666343613	1598.01885029768	1448.59841850757	1922.71995480229	1795.87885840014	1806.66797426482	1674.66576014077	2553.47649545811	4026.72298094243	4079.56574672498	3563.62289400364	1642.92782107623	2254.8280649353	787.280248169762	5304.6151945797	3716.73474789786	1054.64207670746	1031.93465696281	1997.84948178789	2352.59199148329	2247.2213144395	2389.44525928181	947.618883440432	1294.34357953924	827.084817052527	1078.10869068574	754.576469110154	2162.35124961555	863.559883076754	852.344282011862	2668.88148038097	1909.072813802	1987.78976026928	1113.6523596238	1305.82490927204	2599.72087374775	1540.57301966663	2048.4660300409	1604.68361471991	1659.10625987008	885.91450736028	1294.03362490256	2229.81502826719	2993.53517420459	1145.81156351939	1358.53465876459	2507.59876053068	2043.50547614746	2329.42384216813	2221.79494976676	2231.57377480615	1364.21385323154	1373.48587309524	2492.49253038852	2759.94232420385	6578.62260406213	3551.87928577803	2268.27963346075	3833.23661339296	3474.0036461659
Protein Processing	26187.4553446166	22861.6907925358	30143.1662856214	15548.2549702762	16019.9594931095	18517.9580541436	21854.1229776969	18362.7555452676	24381.6295155167	21732.1373159224	25975.4793418974	26573.8353390718	23479.0378489942	20234.6734038315	19933.284945236	13180.1818756187	20340.0500449154	16731.6928315163	14951.2375125157	15104.6444331981	28674.3473462141	25120.3121642736	26655.4096296992	21035.4452873135	13641.3198270628	17662.0419693885	12654.1511679282	14231.4019874634	14389.7599469993	14074.7705825332	16213.3744013027	12145.6207942683	22879.9323165842	12324.1668349647	17954.7955017765	15871.2389776529	17912.3613533285	27521.5941351687	19174.3064561475	20781.9675106862	16815.0385615495	21928.5092784061	12970.3074389163	12640.1215132061	21888.5504144025	20679.862292063	15813.2899602916	18025.0840416149	27356.718459945	20487.5846428901	21680.1448030843	30568.7708295325	30759.8016538786	17435.7875354608	18036.1159279573	26813.6654245011	23373.9620010564	20658.0887946691	23626.3481734179	23544.3796417304	23750.2057288845	22958.9528797983
RNA Processing	11418.2517086704	8572.23233372504	13172.997045815	3629.62319054889	5135.90341240794	10150.4055939603	9035.10446736037	5588.53880159864	8067.04396338724	9193.78136024848	11781.6306269599	12199.5014807858	11454.6367170756	8309.94646914189	8466.62988689284	2241.51444427894	9615.80193304398	8230.50842248816	4069.86384419413	4253.58220065169	9708.54601885394	8634.28302161627	8349.03352547385	8416.0812341997	3899.95049316605	5033.00142652887	3706.17495617132	6975.93079754881	2968.89095517775	5839.923904853	4454.05636908526	2431.33093613548	9516.73414806321	3976.20801970136	7223.51506198055	4779.57958809386	5886.8309459331	9445.90418784722	6201.50865910771	7375.42613111974	4979.57279294302	11118.3881145696	4647.86221156986	3410.30696428603	9320.96986662274	8837.12096654896	5824.31242724461	7815.61583644705	12145.1737738995	6433.54686370155	7222.11101090834	10529.8360478163	10686.3355106793	11219.3173246508	11122.638714587	10616.4790377653	9595.61559954485	10037.572567039	10683.5767656287	11480.7218577664	10744.4497481198	10599.7563401111
Regulation And Cell Signaling	2218.23813796565	1799.40845815913	2061.02225107827	1041.73223704653	1172.24893269268	1607.31224464199	2407.24673988319	1446.95008982845	1528.8743229878	2150.74340959186	1860.41752498584	2671.34884073219	3536.91196930633	2878.79355782041	3028.22924603865	855.266623924808	3780.89081840431	1767.868732022	1205.37006350163	965.464627476618	3257.63614474901	2958.86886511022	2754.03722536074	2994.86391391802	1659.18718812666	1139.87621904552	1777.56176793267	1172.70122558816	914.036110286677	1309.59964781587	1414.60077546197	699.998505892985	2818.29729872405	1004.25722534209	1735.31133249234	1017.06032774896	1233.9707507941	3495.59533687476	1344.64682707317	1844.0447288182	1319.93986266812	2187.69116095932	1364.05574483494	1004.64799373973	2223.64015588122	1790.51903125694	1820.35019490608	2411.67260967901	1949.73254610786	2157.95050991371	2552.45247542289	3604.85793446447	3467.11210760493	1749.71724514239	1801.52129917771	2718.07627059116	2213.4624822241	5006.18573780862	3567.78879875472	2199.70484582981	2533.96541605387	1761.50225633102
