	H800_swab_1	H800_swab_2	H801_swab_1	H802_swab_1	H802_swab_2	H803_swab_1	H803_swab_2	H804_swab_1	H804_swab_4	H805_swab_1	H805_swab_2	H806_swab_1	H806_swab_2	H807_swab_1	H807_swab_2	H809_swab_1	H809_swab_2	H810_swab_1	H813_swab_3	H813_swab_4	H814_chip	H814_chip_2	H815_chip	H817_chip	H817_swab_1	H817_swab_2	H818_swab_1	H818_swab_2	H819_swab_1	H819_swab_2	H820_swab_1	H820_swab_2	H821_chip	H821_swab_1	H821_swab_2	H822_swab_1	H822_swab_2	H823_chip	H823_swab_1	H825_swab_1	H825_swab_2	H827_chip	H827_swab_1	H827_swab_2	H831_chip	H831_chip_2	H831_swab_1	H831_swab_2	H833_swab_1	H834_swab_1	H834_swab_2	H835_chip	H835_chip_2	H837_swab_1	H837_swab_2	H838_chip	H840_chip	H840_swab_1	H840_swab_2	H841_chip	H841_swab_1	H841_swab_2
Cell Envelope	24991.9141566741	29389.4733348924	23359.1566649938	22148.1621802327	25524.0021195343	22080.6939148894	24640.0484664569	28740.0222760736	25961.6575240339	26991.6421568018	32826.2777222481	29278.9791040605	31573.6713196251	25161.6215129511	21536.2175263838	14449.4745364713	39401.6716986773	29390.7323707698	27653.6801460888	26632.1581417635	25097.6945592868	24382.4516807589	28015.5384087668	27862.273141051	20733.2943261398	29043.3132054131	18871.1024356215	22252.4510751376	18871.9625169036	28660.5991293421	19239.8384600652	18958.1682408377	21288.8376005313	25736.5104259603	24543.8243260228	24333.7754335712	26810.9951116095	25775.6398319941	31330.4063402557	24013.9202449756	21444.7955445501	22057.2240730998	16444.0865790422	20488.0287758212	19518.255763058	31156.2155998644	20453.1947327679	20026.3757328011	29491.3396181652	24110.8368909914	21637.5539619083	24877.5854622942	24265.8464591893	25554.4275520778	23816.133665676	23078.9678202341	21091.4477795169	45423.4273057635	37252.9032736161	23481.5346846705	34937.7163493596	29781.2152996411
Cellular Processes	76998.7618993026	70077.2222807003	77320.6172139129	38022.1055894244	46056.9756183471	35598.6884187522	85029.1717225383	52009.2833840952	65636.4685930022	80772.8751047938	71577.1915091877	87120.6383674847	85598.0392923627	97276.194420511	107083.327870989	36309.9491866571	64700.3448580051	63982.0504227472	52981.4599731167	48654.8263317702	54004.4157477994	57772.4322942645	54725.5962544627	50143.2107138351	48511.7666634155	50379.2516831993	74382.8251237465	28135.5705719045	43830.4748865116	60237.4765506267	73482.4494759121	37133.4608804104	50663.9155976105	53605.1306545123	84371.8136405495	40161.109948054	44685.0804642556	51288.2910474414	55217.3491821793	50046.7970553838	41102.4487043621	40547.3059427607	100806.106443117	56688.7712446101	42774.9762912167	65376.3164931241	98610.5080993232	110469.464416499	97265.0889139971	49118.5371363585	50850.1250481068	54920.7445750209	52739.4538255723	23524.6320188327	25846.5277101872	51223.8954706839	46701.6017772396	64335.5250261738	75055.3588089031	45808.9260648404	69446.1221861322	67392.3304607283
DNA Processing	63977.4497194888	64597.6096809905	65937.5357386772	49966.0894027226	64421.4189562539	94806.4445924995	76575.0596210442	60038.2493037526	69597.3527503459	75257.0938659493	69310.2014636774	77742.5513198601	69462.2106533189	86957.6685322302	92902.3366902225	45183.641270299	56738.2219323079	58282.798557326	57583.7205078924	58000.157516153	85115.7288451087	84604.5930039701	81210.8569343631	79591.5847740457	63033.9991703698	61868.2601851046	62866.6508194857	87579.3817353775	50372.5276268536	56099.5738615303	64314.8873900397	44837.4538739308	82078.6140412652	54300.1411664099	61805.0046512985	61810.5984298629	65083.5323054016	83580.0172825456	63859.793165764	77975.2716469881	65755.9383773547	96604.0021855768	63126.4559385354	51964.9691300999	90385.176539247	64309.219474271	71709.8664122228	78457.546781377	76430.6468623696	74924.8449818683	78165.9199596272	88541.22892565	89111.0296238802	102326.486659878	97522.1389162593	90006.5585921576	83697.706997925	59257.0844337576	60602.200610468	88198.9895553509	65992.689296611	63888.836004159
Energy	135587.584551866	141869.932993857	139015.912191679	206392.214909711	188226.041737708	140688.743823478	110094.476866738	179088.724990319	142181.476047089	121037.211449688	123226.95280546	116679.27635688	113766.379128567	123914.242315173	118033.800132893	234071.775198606	111945.116662327	134019.681067799	174678.100338075	209754.971675821	148055.471746338	141543.099447501	154290.411191671	143016.443270176	171723.137962441	176684.97368953	160158.309309787	157260.100991704	206431.725502864	146177.317780268	161324.375436033	223525.123623477	153681.650808863	187198.445518261	127104.71458928	196575.313533034	175170.67761737	147442.623771776	162406.718646903	157086.806096499	185139.809263342	151130.830102579	176643.651801011	225485.337629009	146781.760650715	131755.064541249	125608.652607629	104214.896093294	112617.26415649	174939.954482194	169510.62135178	145486.050299132	144866.552917884	139777.025069295	139206.330471986	153718.864167967	153558.615552224	122200.178650723	121628.219797616	149320.463277444	120909.784821959	123199.093389814
Membrane Transport	92595.226065162	83102.5033853983	92830.8548652607	36458.1592666323	48093.1402813607	39297.1886317439	134076.792612322	58957.4059769378	74638.6402556781	107008.800945741	112423.707385203	91975.2808532611	92889.4794163662	68314.545036191	67751.8727943292	24085.944326488	107517.561305972	109515.503609571	55806.3854095085	51589.154518938	43778.0564559994	51514.723471876	41423.9399430847	35679.5051724165	48112.2966457116	55152.1335534271	62807.7582427746	28040.2976973065	38292.4370068958	93869.7646692859	49067.3156235363	33001.2348446426	37647.4861740711	66422.4955143726	92175.7418238033	44071.1633106648	52839.1851634149	44793.7886926044	66093.162987161	51181.7892438146	38384.804864139	28173.184261609	63448.2296804342	62689.2416236246	35721.6132915085	118093.939931145	72100.7096060923	78534.7882264284	97999.6449523819	41394.7480007604	39535.7102886404	41737.743289174	42786.9774609764	23457.505572078	26977.8645671657	35029.3230247624	35738.1751144926	113514.802484505	116985.889188016	36414.1098859152	112117.529467661	137939.6182496
Metabolism	365617.125278015	371890.099863514	354503.429121522	402331.342780689	387213.483145038	422552.657290872	347105.303100818	379141.629107677	387005.760322638	363962.580090118	354967.106864426	357624.002782725	379241.884023358	369059.272269038	359345.866121857	401577.039336425	386058.093337378	402999.575630404	396745.033595073	371434.769659821	410502.82855834	408624.015705284	407873.8262205	423027.019627303	416389.034596804	389339.747149386	405849.676315726	428760.646632919	399517.572237456	412270.296609424	390957.929389812	399395.706249858	433707.1166361	401159.245174363	395733.000594172	390607.553052672	394819.240991792	407752.303473902	387366.891156957	412466.600001183	415651.78650166	418659.26572012	364204.560166825	371299.776242942	434435.639772394	360960.532341222	395837.619242175	396787.013617067	344942.897116075	412097.781515844	419066.325034546	409417.971053632	411307.253788354	437992.779203311	440448.620190194	415367.193326593	433710.650676192	357933.691813361	364293.932464517	415400.504738565	366570.592813834	357670.857021061
Miscellaneous	14614.8597946463	12148.8462729223	15092.0513483842	13600.9074423096	11022.3840446398	11519.542047375	8028.86794332861	11663.1828487391	7775.75254729601	11444.8281030799	15538.9214164249	15485.8980422056	13230.028876137	8083.18071414024	11232.4026375862	8921.48306766516	22206.8416903627	16229.6196398649	8644.68639987382	8568.00145352999	7608.16859264792	9866.99807639995	9265.11118955423	11760.5549192403	8183.47096309141	9138.32979406136	6585.88788032767	9105.92687181711	7392.84896050329	11940.35879867	6799.02209282831	9920.72597784262	10779.2493799655	14664.5168930892	10122.2726503058	9075.05629355635	8989.51375858769	10014.3860852648	9309.67313158338	10372.7335051974	11045.2601410263	8301.9293096639	6834.70025458198	10791.0759785931	10372.5926466297	14030.068349948	6993.58203739893	6609.49297299746	10051.5402499553	10303.3785359223	10630.2466608788	7896.88673292728	7902.33362584254	8694.18738302622	8499.06650971791	9524.60221114714	11599.04485495	26161.314273213	13595.0924868991	10282.347452341	14963.0648334113	13850.7400088843
Protein Processing	98995.6575157748	110620.774173454	104586.39095867	132332.842444733	121895.857165541	110946.160361751	97703.621034608	118543.184792051	113207.973987938	97404.6858608882	100238.068066268	100873.409132231	87166.4477318262	99554.2955183716	99297.4523762857	149358.211012458	85150.0541986588	73061.1757376954	122552.250133273	125411.637825591	109197.049568975	105357.015878975	109898.091672326	103533.867784225	117804.052508657	124697.620403295	100762.121483122	120201.336749124	140981.49918658	77719.940640676	127651.935799751	141367.025360118	92408.935372427	94667.9201746435	91429.8579668941	129333.347095265	123311.645911478	106015.946609767	115870.21410395	105232.797391185	115740.245298212	109727.109287076	100064.016130528	105407.239041355	101820.560986285	96922.1554252318	96518.0873884637	87694.9774833727	109657.558073062	103298.641636335	98936.6051503308	108650.044789674	108925.018602536	111118.944910905	111606.643978975	102463.495427749	98232.3548251529	82151.3538271016	90431.6736864943	106729.121248923	92709.0873771027	91536.6014555776
RNA Processing	43164.076872128	41478.4271975623	45705.7565245958	30892.1068458736	39079.0843787193	60813.8609814135	40393.4042005699	36077.5476339763	37456.631132283	41207.0553508135	45464.719906515	46308.9083069314	42525.5923648849	40884.8143985437	42176.4290377191	25400.9080083631	40254.8692827304	35939.6164106781	33359.8453923646	35316.8664624145	36971.8818030375	36213.0170780978	34422.38796944	41422.9140320809	33679.2904574116	35534.0171007569	29511.4264256558	58920.1406631202	29087.2606161661	32247.6687324838	35067.8954054906	28299.0905059137	38436.7951214393	30543.1879045107	36783.7637623472	38948.3786808811	40525.9138550564	36386.5722727201	37475.6780768949	37346.6431092569	34275.0909803693	55634.8164051845	35857.5740398838	28438.891272788	43359.0330463962	41417.7231808824	35549.3067693133	38024.2473884471	48683.1086984652	32438.0186101979	32957.8585349875	37426.0111603141	37841.8985724152	71501.1410411113	68826.3694957443	40568.9238723354	40326.9208830604	39916.5762000608	40892.2157915604	52043.3060385643	41941.0316646596	42260.8851854356
Regulation And Cell Signaling	8385.53956864773	8706.79069637374	7151.03638693099	8866.29324372527	8919.64105923145	9629.84803853975	10762.1213374873	9340.97671019825	7098.8185788599	9639.75531413485	7179.25763935433	10140.3527608184	13130.8639769418	14163.6219607759	15085.0926061168	9691.90668941945	15828.036676184	7719.63538968045	9880.17302258452	8016.11058969366	12405.6618021965	12409.7818516992	11354.6720784388	14740.350882058	14328.4504072689	8047.75870851375	14154.319197493	9904.87480061396	8955.13070499537	7231.52155798624	11137.5043160072	8147.52149855674	11382.7195524221	7714.18823816715	8836.59569625382	8287.93622040414	8494.85789648652	13465.3845552466	8125.69237398481	9337.6137378823	9085.32935710488	10946.8921966957	10523.4896471742	8377.86022214291	10343.8685439159	8391.78527344095	11110.6999005735	11733.1810889088	7815.37121182158	10880.4117360844	11648.0302608483	12812.6831865149	12277.5580631979	11151.0153342494	11147.7297585012	10386.6290234795	9302.38664442826	19908.1793073246	13655.987377445	9971.49080905494	9891.35099919526	7023.05243819506
