	H800_swab_1	H800_swab_2	H801_swab_1	H802_swab_1	H802_swab_2	H803_swab_1	H803_swab_2	H804_swab_1	H804_swab_4	H805_swab_1	H805_swab_2	H806_swab_1	H806_swab_2	H807_swab_1	H807_swab_2	H809_swab_1	H809_swab_2	H810_swab_1	H813_swab_3	H813_swab_4	H814_chip	H814_chip_2	H815_chip	H817_chip	H817_swab_1	H817_swab_2	H818_swab_1	H818_swab_2	H819_swab_1	H819_swab_2	H820_swab_1	H820_swab_2	H821_chip	H821_swab_1	H821_swab_2	H822_swab_1	H822_swab_2	H823_chip	H823_swab_1	H825_swab_1	H825_swab_2	H827_chip	H827_swab_1	H827_swab_2	H831_chip	H831_chip_2	H831_swab_1	H831_swab_2	H833_swab_1	H834_swab_1	H834_swab_2	H835_chip	H835_chip_2	H837_swab_1	H837_swab_2	H838_chip	H840_chip	H840_swab_1	H840_swab_2	H841_chip	H841_swab_1	H841_swab_2
Cell Envelope	50080.3547619048	45495.3142857143	52313.1166666666	13022.169047619	17436.8571428572	21383.3761904762	14058.0095238095	23696.4500000001	35889.0047619048	59223.7047619048	116223.440476191	97694.4523809522	83971.5428571428	52258.3023809523	43052.5166666668	6429.91904761905	100883.778571428	61908.3595238095	24036.1690476191	22788.1880952382	92675.4499999998	22466.1095238095	70882.1404761905	13732.4595238095	17965.8785714286	24634.3857142858	20748.0119047619	12912.2761904762	9521.05238095238	43320.45	17197.3714285714	8684.8619047619	43137.75	23026.730952381	47490.0428571428	17272.1809523809	12246.7857142857	2806.36666666667	22056.011904762	37168.9380952382	14539.2095238095	27625.5666666667	22558.3785714286	9226.28809523808	203.852380952381	13329.9690476191	22127.2690476191	39776.311904762	86626.4595238096	21917.8714285715	39816.1785714286	62376.7857142857	17775.369047619	22714.5571428572	29049.0666666667	47859.2571428572	12997.6142857143	225218.966666666	125920.076190476	33515.0166666667	119930.202380952	115193.033333333
Cellular Processes	154294.916666666	108480.516666666	173160.466666666	22355.3666666668	31464.0666666669	34474.4666666668	48512.1166666666	42882.2000000002	90734.8666666665	177227.783333333	253423.416666666	290693.3	227651.683333333	202033.433333333	214067.616666666	16157.6833333333	165658.333333333	134771.183333333	46050.7000000001	41632.2000000001	199416.066666667	53231.7999999999	138461.283333332	24714.05	42036.5666666667	42731.4166666667	81780.8999999998	16326.0333333333	22112.8166666667	91048.85	65681.6833333333	17011.0833333333	102660.716666666	47961.0833333334	163251.699999999	28506.4666666669	20411.3500000001	5584.09999999999	38871.9666666668	77462.8333333333	27866.7666666668	50783.4666666667	138288.15	25528.4166666667	446.75	27970.8000000001	106681.683333333	219414.033333333	285701.850000001	44651.0333333333	93571.4666666663	137705.466666666	38633.0333333334	20910.3333333333	31525.5833333334	106223.883333333	28779.8833333333	318989.150000001	253697.716666667	65382.7333333333	238386.716666667	260671.933333333
DNA Processing	128202	99998.0000000001	147667.916666667	29377.9166666669	44009.8333333333	91812.4166666665	43688.7500000001	49502.1666666668	96210.3333333332	165125.333333333	245396.999999999	259401.666666667	184737.749999999	180602.833333333	185718.75	20106.4166666667	145272.166666666	122766.333333333	50050.9166666668	49628.6666666668	314297.333333335	77955.083333333	205471.666666667	39228.2500000001	54620.4166666667	52476.3333333332	69119.3333333332	50819.0833333333	25413.3333333334	84794.4166666666	57487.3333333333	20540.3333333334	166316.583333334	48582.9166666667	119587	43873.3333333333	29729.0000000002	9099.91666666665	44956.0833333333	120690.749999999	44581.4166666667	120991.666666666	86598.3333333333	23401.1666666667	944	27514.2500000001	77579.2499999996	155832.083333333	224503.75	68110.1666666667	143836.416666666	222003.749999999	65276.1666666666	90954.9166666666	118949.916666667	186648.166666667	51578.7500000001	293809.166666667	204844.000000001	125885.75	226532.166666667	247120.5
Energy	271698.850000004	219616.633333331	311327.833333331	121349.766666669	128587.616666667	136245.733333333	62812.7499999995	147660.533333332	196549.533333331	265573.766666664	436292.549999999	389320.883333337	302566.599999997	257358.133333333	235958.433333332	104160.366666667	286623.533333334	282297.783333334	151827.616666665	179479.849999999	546707.883333328	130418.499999999	390370.316666659	70488.416666667	148802.066666668	149863.266666666	176087.566666667	91252.2333333339	104146.416666666	220946.783333332	144198.466666667	102398.333333334	311406.416666665	167488.45	245935.933333334	139529.700000001	80014.8499999994	16053.0666666665	114331.250000002	243140.216666668	125521.666666668	189283.783333335	242323.849999999	101541.866666667	1533.01666666667	56370.4833333335	135889.6	206991.233333333	330796.600000002	159028.55	311923.666666668	364784.283333335	106118.550000001	124243.566666667	169793.049999999	318769.483333334	94630.5666666666	605894.350000002	411120.566666671	213123.966666668	415045.300000003	476531.16666667
Membrane Transport	185548.083333333	128643.833333333	207895.833333333	21435.8333333333	32855.0833333334	38056.1666666667	76495.4999999999	48611	103179.333333333	234793.333333333	398043.000000001	306891.666666666	247043.583333333	141882.833333333	135441.083333333	10718.0833333333	275287.25	230682.416666667	48506.0833333333	44143	161654.333333333	47465.9166666667	104806.75	17585.3333333333	41690.4166666666	46779.75	69054.5833333334	16270.75	19318.8333333333	141884	43858.4166666666	15118.0833333333	76285.4166666667	59428.9166666666	178351.583333333	31281.8333333333	24136	4877	46528.3333333333	79219.5833333334	26024.25	35285.5	87039.75	28230.5833333333	373.083333333333	50525.6666666667	78002.0833333333	155985.5	287859.5	37629.75	72751.3333333333	104651.083333333	31342.5833333333	20850.6666666667	32905.5	72640.9166666667	22023.6666666667	562830.416666666	395428.833333334	51973.5833333334	384864.25	533547.166666666
Metabolism	732646.376190477	575691.057142866	793914.759523808	236553.566666661	264526.940476189	409208.264285716	198035.716666662	312606.252380959	534990.940476195	798588.402380937	1256782.7142857	1193275.25	1008610.1738095	766501.119047617	718359.380952387	178699.083333332	988460.578571425	848874.47857143	344844.904761916	317823.488095246	1515817.88809522	376508.154761903	1031961.95714289	208497.038095241	360810.719047625	330235.92857143	446215.261904762	248793.980952374	201559.733333333	623145.897619053	349454.530952387	182965.807142853	878824.364285721	358921.464285717	765706.961904755	277254.31904762	180346.407142854	44394.7261904762	272698.945238089	638419.107142865	281804.897619048	524349.72857142	499624.245238097	167205.871428571	4537.32857142857	154434.440476189	428236.547619046	788096.869047607	1013218.87380951	374616.038095242	771141.676190476	1026553.68571428	301293.352380955	389318.523809527	537224.954761908	861354.176190476	267274.385714285	1774711.00238096	1231364.95952379	592897.995238089	1258321.66428573	1383462.37857141
Miscellaneous	29286.1666666667	18806.5833333333	33798.8333333333	7996.75	7530	11155.75	4580.75	9616.41666666668	10749.0833333333	25111.6666666667	55016.5	51671.4166666667	35185.8333333334	16788	22454.4166666667	3970	56858.25	34185.9166666667	7513.83333333334	7331.33333333333	28093.8333333333	9091.5	23441.6666666667	5796.41666666667	7091.16666666667	7751.08333333333	7240.91666666667	5283.83333333333	3729.75	18047.8333333333	6077.25	4544.75	21842.0833333333	13120.5	19585.6666666667	6441.5	4106.25	1090.33333333333	6553.83333333334	16055	7488.5	10397.75	9376	4859.5	108.333333333333	6002.66666666667	7566	13127.75	29524.9166666667	9366.25	19561.1666666667	19800.25	5788.66666666667	7728	10366.5	19751.3333333333	7147.91666666667	129713.333333333	45953.3333333334	14675.9166666667	51363.5	53574.3333333333
Protein Processing	198373.666666667	171242.5	234222.499999999	77806.033333333	83273.7999999992	107442.433333332	55743.3333333333	97740.0999999983	156496.999999999	213720.466666666	354899.000000003	336581.833333335	231822.93333333	206764.833333333	198503.066666666	66463.4	218017.633333334	153895.366666666	106520.599999999	107310.266666666	403219.733333333	97076.4666666663	278053.266666668	51028.6666666667	102079.933333333	105767.866666666	110783.866666666	69748.3999999999	71126.2666666666	117473.566666667	114100.633333333	64761.1666666668	187249.000000001	84700.3999999996	176908.366666666	91801.1666666667	56326.5666666666	11542.6666666666	81570.4333333326	162880.166666667	78469.9333333331	137427.7	137270.133333333	47467.6	1063.43333333333	41467.4666666668	104417.999999999	174179.433333333	322102.900000001	93903.266666667	182057.433333332	272423.566666668	79790.4333333333	98770.2666666668	136129.1	212480.333333334	60535.7333333333	407323.800000004	305671.833333335	152333.666666666	318241.166666668	354061.400000001
RNA Processing	86494.8666666663	64209.1833333334	102358.6	18163.2333333333	26697.0833333336	58893.3333333333	23045.8500000001	29746.3166666668	51779.4833333333	90414.4500000001	160970.616666666	154517.8	113098.65	84913.883333333	84313.8499999997	11303.2333333333	103068.3	75702.8666666665	28995.8833333335	30219.3833333335	136521.933333333	33366.85	87092.1166666659	20416.0833333333	29183.8833333335	30139.7666666668	32446.6166666667	34189.1833333335	14674.75	48742.2999999999	31345.1500000001	12963.9999999999	77884.8	27327.3166666667	71173.1999999999	27645.6666666668	18511.5166666667	3961.65	26382.1666666669	57805.4333333334	23237.9333333335	69679.8166666667	49190.25	12806.7666666666	452.85	17720.2833333333	38458.9833333333	75523.6166666665	142999.45	29487.6666666668	60647.15	93840.0666666664	27720.1833333334	63555.2	83949.0499999999	84128.4833333332	24851.4833333334	197914.833333333	138221.466666666	74281.0166666666	143970.383333333	163464.099999999
Regulation And Cell Signaling	16803.4666666667	13478.2333333333	16014.8333333333	5213	6093.5	9325.73333333333	6140.16666666666	7701.73333333332	9813.3	21151.0666666667	25418.6	33835.0666666667	34922.1	29416.5	30156.2333333334	4312.83333333333	40526	16260.5666666667	8587.7	6859.09999999999	45809	11434.4333333333	28728.4666666667	7265.06666666667	12415.9333333333	6826.06666666666	15562.1	5747.43333333334	4517.93333333333	10930.4333333333	9955.16666666666	3732.43333333333	23064.9	6901.96666666666	17098	5882.79999999999	3880.3	1466.06666666667	5720.33333333333	14452.8333333333	6159.7	13710.4333333333	14436.3666666667	3772.76666666667	108.033333333333	3590.36666666667	12020.1	23304.4	22956.5	9890.8	21434.0333333333	32125.8666666667	8993.63333333333	9911.8	13597.1333333333	21538.9333333333	5732.6	98708.9666666666	46159.1666666666	14232.2333333333	33953.9	27165
