	H800_swab_1	H800_swab_2	H801_swab_1	H802_swab_1	H802_swab_2	H803_swab_1	H803_swab_2	H804_swab_1	H804_swab_4	H805_swab_1	H805_swab_2	H806_swab_1	H806_swab_2	H807_swab_1	H807_swab_2	H809_swab_1	H809_swab_2	H810_swab_1	H813_swab_3	H813_swab_4	H814_chip	H814_chip_2	H815_chip	H817_chip	H817_swab_1	H817_swab_2	H818_swab_1	H818_swab_2	H819_swab_1	H819_swab_2	H820_swab_1	H820_swab_2	H821_chip	H821_swab_1	H821_swab_2	H822_swab_1	H822_swab_2	H823_chip	H823_swab_1	H825_swab_1	H825_swab_2	H827_chip	H827_swab_1	H827_swab_2	H831_chip	H831_chip_2	H831_swab_1	H831_swab_2	H833_swab_1	H834_swab_1	H834_swab_2	H835_chip	H835_chip_2	H837_swab_1	H837_swab_2	H838_chip	H840_chip	H840_swab_1	H840_swab_2	H841_chip	H841_swab_1	H841_swab_2
Amino Acids and Derivatives	26776.7113887021	21334.2433145684	28484.0630300683	13755.0891535919	14294.1110814543	19341.078093786	19472.6105266193	16665.2652212796	22885.6036971575	21513.2528914027	26484.0685246993	27831.4242739544	28271.8308552965	20082.4164003512	19534.4556510312	10678.4961921727	25655.7956070803	26666.1478593334	13707.0040885006	12734.3503544762	27617.2533250497	26294.2293400082	26454.8334581775	24465.0173699141	13385.3323720351	15499.8209721745	13444.216060357	14453.875067684	11539.0385007096	19835.8762938207	13396.8655088193	10007.0830316874	25602.0813102192	14523.914909592	21526.4230701475	13195.8285533124	15662.9965992414	28107.9931567281	17660.9080025827	20028.4797869734	15902.5540610879	22245.1833507404	12437.3247746762	13092.3691433314	23392.0828334626	22114.6092999171	16262.8550976663	19842.9040943277	24863.2798212813	19404.9793290801	20918.2495792487	30746.7122899395	31097.684194697	18727.1559768403	19707.4423008039	27916.299127708	26071.5627475816	25782.558021028	26371.7255701064	24687.2827103794	27612.0697174492	25365.6502462227
Carbohydrates	17241.2368297836	14479.551452449	18477.5752911541	8024.85862609771	8675.96629658463	8172.86609524951	14794.4297142893	10042.6359676675	16829.5982765201	15388.5099150369	16626.5639950445	13813.3267055696	19502.7325188181	12233.4609437162	10351.4945347824	5946.0877625118	20613.3667977838	16312.5634478947	8773.9212136536	8320.46230147066	20014.1143610029	18035.4949025655	17360.4676878964	11667.1036283485	8372.49691818345	10144.0645191021	10697.1076827478	6053.74199920113	7756.17008767626	15553.2375881806	8164.38337866914	6069.50648270509	16653.0465683549	9834.80844328964	15767.3014961518	8431.22345930586	10165.7495283928	19111.683881571	12232.6739698057	14335.9257178113	10523.1509299028	9932.29062534587	8633.00978934259	7337.18441148626	15137.3566057412	13521.0027877383	13224.5978452805	17019.278734198	13499.5258126559	12166.7037932134	12456.5139615581	20148.6148854344	20449.6571040277	6988.03894435119	7257.37534024109	15882.7791539897	16860.7233516832	18187.0091053251	18564.963990653	11881.4854770912	15610.0286836312	16744.834612673
Cell Cycle, Cell Division and Death	11790.3745950079	8828.06085165251	13331.3921900827	3457.94286692514	4540.7821174597	4497.73043526266	9542.68388703102	5720.3882865252	9249.59643604862	9812.23719757841	10565.2272424139	11109.8970035924	11342.0419995526	8973.66790943148	9309.16385395757	2599.20144267284	9280.08919292406	7808.34209263987	4322.05343769363	4266.35352981534	11302.5102029428	10148.7546818727	9974.46236288494	8178.07452697531	4029.34355648979	5105.09602854018	5251.77870210182	2808.87730672173	3357.26087780723	6280.1400157726	4822.22297060037	2567.70727155613	9721.77894450139	4170.37214442969	7325.04095796858	3747.89877321009	4679.80086693535	10694.7795760965	6236.50583324162	7710.01954857096	4729.78629361402	6926.18788859498	5539.94045147743	3805.16541191081	7903.83665404247	8186.19994913266	6982.24441355019	9363.48624348774	10983.3574524954	7800.3273972315	9253.45545327934	12095.6655422432	11715.1647812787	3339.1581922589	3524.77031060525	10917.9535262499	9064.95374236928	8271.04824503576	9691.08079981739	8459.80424204941	10014.7838717307	9592.53672060509
Cell Envelope, Capsule and Slime layer	6611.1448964325	6073.84152712812	6732.41458272559	2602.26612184427	3354.44936001133	3685.4755711156	5511.42980843689	4451.93036062646	5591.36863828306	6022.15456627629	8506.53165304356	7713.1800768972	8504.64190333766	5114.16600332862	4323.24848546181	1275.10031826726	9411.99605504237	6730.75270354984	3373.7180631909	3207.59130647406	6590.47120982513	5813.51694940338	6795.07388088972	5660.90434736047	2400.84693988533	4113.66484063676	2369.9161888509	2634.60943964047	1926.23154040669	5190.31993820541	2443.69740591298	1628.80078873127	5270.99637535968	3350.45966631787	4819.86253073732	2986.1375570082	3894.58942934092	6691.32069953215	5184.58360683402	4742.40467522819	3115.55468970244	4408.04506639656	2131.48409118535	2456.86326335555	4195.87479319077	6647.66735036196	3351.00194870031	4116.2802704538	7357.32483120976	4781.9874858969	4741.47361702912	6999.32715408559	6852.53611726954	4009.77141877656	3848.79011173189	6039.53358111763	5018.61835464685	11422.3460834932	9732.76317172223	5180.01235948448	8950.34105577488	7469.64064532597
Clustering-based subsystems	402.918792754719	263.327035913266	408.894854597618	81.2822918508873	130.816324646102	149.084800296169	266.691391895802	165.281539418821	268.69642040696	271.693491982058	286.226338234388	337.335914224149	297.18098126794	254.534092921582	211.98244050332	28.5727865047338	232.562196801494	528.874400456791	101.866311537001	106.846103372218	389.39948742844	323.374117804941	303.107255998803	184.472030742317	100.993673513071	137.974440036678	99.3651633104847	80.6974709963495	80.6722614270859	467.507341195151	95.4063923916987	45.0263834915044	288.877234689945	271.241942283391	242.785935540828	98.5168417696131	153.412894972619	316.321891700276	243.350438971068	242.762256814564	130.607553338023	193.285154588504	67.0073632824586	62.1785886232635	200.683352544047	241.994604056438	123.526341348662	167.24154708805	265.057405134854	225.268320205232	233.930782210627	353.967862478465	363.565593825308	125.541332637573	120.932738211323	288.257808546594	264.909415974005	173.497350901574	297.443481680588	292.694122856582	307.17536578943	300.035742317084
Cofactors, Vitamins, Prosthetic Groups	22891.3142782873	18434.6636772273	24900.7882757504	10620.6996238798	12106.098580104	22327.3533380427	18657.589946189	13207.9786285346	19512.0080399114	18789.2603154633	20144.2556835581	22468.7193838645	22232.2348803139	17547.6901359312	17041.5589348669	8038.09828258538	16669.5028479051	18777.6251573372	10873.9837113083	10194.0542941004	25832.5127433518	22055.555311162	24096.6593717045	23782.3677991672	11198.3531338389	12398.15913848	10225.7309226784	15531.6752706562	9027.1299550723	15227.4441586117	11008.4246082508	7722.75775643121	31210.9603342348	11127.6345995393	15943.7048548489	11945.0993504451	14439.7018685795	25722.5729845201	14610.0488941835	22102.2573487466	15624.977678501	26002.767796609	10887.8256738955	10461.6385180958	26690.1997914265	17379.3933469981	14051.2450061938	17890.6267705755	19666.3889119854	20788.9932916954	23947.7937706391	28853.8547917491	28841.4462078414	24095.2918440263	24445.5974256125	30728.936494737	29557.2495857917	17081.1170167807	19805.8299978749	27993.0830164263	21003.7201354791	20319.5083451478
DNA Processing	16924.0414138831	13350.2101164839	19004.0605284916	5870.69304602597	8466.47741905024	15824.0876340562	17128.1345794748	9300.13561947568	14989.1991724935	16790.7476261241	17960.8979007085	20480.3007589955	18710.2482141028	17674.3757117302	18649.5091768005	3987.25055494659	13553.2300527982	13347.3061852081	7025.14952790792	6985.56985253091	22350.7684792268	20172.3043222144	19697.4180809133	16170.9831060722	7299.12871714356	8762.95637742174	7895.07099673741	10369.0809187174	5141.44469065917	10159.4085812473	8168.78602192237	3852.23294290871	20322.2028944998	7068.96272425149	12137.1316129817	7585.1340823144	9454.09284085202	21697.2576958407	10567.5755745825	15398.9972915078	9553.19073859934	19305.9105632257	8182.45731796302	6231.48400630019	19430.2651078544	13721.3808030085	11748.7710466774	16126.3953195198	19067.4653408953	14860.1092822261	17128.6295988836	24911.1405451588	25164.4446020745	16056.1538996102	15759.999049585	23553.8104378124	19915.505705093	14901.0095989669	15833.0442568384	19456.6437895144	16906.0012533784	16024.4181238965
Energy and Precursor Metabolites Generation	20740.2322060195	16740.9375959977	21913.8986071157	11541.2727864354	11843.6451225003	14721.2881202506	15278.0549347025	13900.8146687463	17473.5556814383	15819.0402541576	18446.8056572203	18393.3249386221	19488.9415522625	15766.0884939951	15196.4866010892	8594.08603803088	15862.7150203223	20224.4980957109	10966.6751537708	10401.1051281664	25361.7867264406	21227.0223454178	23610.4575023039	18522.1942182001	10537.4052770874	12916.5116454596	9677.61672860427	10829.3557607689	9552.21955101775	17449.1483926042	11635.7858779779	8447.768488683	25881.9441321826	12069.8105220432	15969.7358780639	11284.2614000171	13424.3888818931	24881.8958967161	14948.7453789284	19812.4559493677	14650.8317597567	20372.8802525072	9270.48209585284	10633.3463992696	19811.3919534551	16424.7053093362	11556.3157953187	14041.0873492946	15624.6364750072	21387.3743124596	24473.9847098399	26396.9976523333	26324.391360934	14756.2818181961	15115.4837539177	27512.6919247437	25194.446021095	18545.0084696766	19142.5759281827	21849.1055860085	19148.7421332949	18655.6587419705
Fatty Acids, Lipids, and Isoprenoids	11737.145034189	9808.94074968585	11613.6777457677	7251.01942462876	7154.59030452425	10020.4359026171	10542.8300466647	8509.35496331187	9718.72385684992	10206.4469125942	12024.4040540851	12660.7761799144	11820.72936653	11278.7494951361	12178.9284433233	4687.45026085297	9559.16582827378	12090.3609439062	6784.31940751658	5980.93664300663	14679.5410935124	12825.6930206278	15058.3153874028	12180.8525903682	6930.78140553366	8010.93892293254	6579.05376972569	6819.59408244198	5306.19433198492	9392.36466179619	7606.68692660686	4838.45698167211	16259.059564796	6690.25014801795	9198.44819405408	6931.6586532249	7752.65854101924	13294.1825383954	8808.52696848814	12048.2906234346	9030.85134185916	11783.4454190438	6171.35183680528	5880.23806581957	13350.3681400108	8915.74828524094	8239.94362600758	10514.6273886515	11469.9666512789	14387.1793136767	17180.8842671177	14141.3440544113	14389.8269813467	8943.45794738577	9265.72662192269	15862.7618390212	14674.8113384008	8541.16668526286	10186.1866839662	11554.4382732893	10938.7452034852	10006.562700964
Iron acquisition and metabolism	2103.6352106626	606.22291549765	2018.72463242133	378.518027816158	623.910505217768	456.360351118542	1485.1472856547	1021.87421406331	877.599692396059	1493.93712451801	1459.66405586382	1590.4238287058	3355.40799502661	1431.96732907996	1694.5875624382	282.819356993646	4839.74736342429	616.449347433447	657.797408223435	513.64484209786	1462.55482047154	1315.44864859543	552.658267091802	1173.13218805403	1003.52231722978	478.673201047066	1718.07783474368	315.444475753114	294.365242323285	409.638031662281	707.312229159854	231.055207753697	953.753086516333	397.24758663784	1309.29838839732	285.638330641175	462.703255522876	1246.61026917559	706.055157552374	728.031589374859	460.287160902498	784.070750238425	1150.66839490545	667.321383682648	679.235962456774	1617.61943470596	1811.57664438446	2592.97269180872	1602.24901172867	526.462427753245	572.139537503561	1437.69638231268	1419.43820779159	174.969370798137	237.868612437208	1429.5635509038	989.685875929607	3785.50586453255	3165.81273160901	1123.86815279294	2251.94768287076	1769.42409910597
