Index	H814_chip	H814_chip_2	H815_chip	H817_chip	H821_chip	H823_chip	H827_chip	H831_chip	H831_chip_2	H835_chip	H835_chip_2	H838_chip	H840_chip	H841_chip	H800_swab_1	H800_swab_2	H801_swab_1	H802_swab_1	H802_swab_2	H803_swab_1	H803_swab_2	H804_swab_1	H804_swab_4	H805_swab_1	H805_swab_2	H806_swab_1	H806_swab_2	H807_swab_1	H807_swab_2	H809_swab_1	H809_swab_2	H810_swab_1	H813_swab_3	H813_swab_4	H817_swab_1	H817_swab_2	H818_swab_1	H818_swab_2	H819_swab_1	H819_swab_2	H820_swab_1	H820_swab_2	H821_swab_1	H821_swab_2	H822_swab_1	H822_swab_2	H823_swab_1	H825_swab_1	H825_swab_2	H827_swab_1	H827_swab_2	H831_swab_1	H831_swab_2	H833_swab_1	H834_swab_1	H834_swab_2	H837_swab_1	H837_swab_2	H840_swab_1	H840_swab_2	H841_swab_1	H841_swab_2
Amino Acids and Derivatives	105171.446236685	110280.537916267	109071.132387461	120413.798667865	103403.324995013	108274.814575639	111311.700838752	108814.652028013	103646.512218676	109282.498994358	110121.510779509	106677.007516394	109569.400452988	111910.019707314	101223.204589812	103229.92001243	98829.8748686916	117071.018532648	108763.878176019	115877.698042532	87056.5504453765	107584.812631448	106261.676496939	96423.6333164357	102200.688137776	105647.17556564	104959.79785802	98805.1933007718	97310.6883804684	121009.034823458	107403.491221926	116441.303017967	112353.522056321	105731.435232575	115593.389612695	109431.898942213	107053.228141642	122080.389962347	113051.986481605	109532.380586346	105476.859629683	116475.854522724	111565.255136252	109617.389050414	107531.660061208	107826.648450202	106724.75670552	101417.392477023	109459.48777704	95952.1331884325	109178.577315652	99262.0557419747	96538.96890241	99662.777715132	97840.132969055	95459.7221492625	119348.88568103	121948.733606921	102529.912984972	100939.817859318	107783.899361527	101132.025898842
Carbohydrates	76217.3315252848	75642.6078787824	71575.800032469	57424.0453664556	67259.3905784279	73620.1270922114	49699.7550121448	70415.5420192587	63370.0899546672	71613.8676939344	72415.2680025762	60693.1220875803	70859.5555523033	53860.009199571	65176.5341033983	70062.1492036463	64110.8135441872	68300.4204805489	66015.4196342635	48965.8800267006	66141.7232667371	64831.558007715	78142.6328664052	68972.1840218233	64161.0740462926	52434.9360364768	72404.3261765161	60188.4479031211	51565.8627474041	67381.2424678807	86294.2468760986	71230.991197376	71918.0460028948	69083.5728910028	72303.4192499115	71619.1654929757	85178.6302805442	51131.1451450323	75989.9046915463	85883.9364404164	64280.2242829036	70645.0572924927	75545.9474956808	80290.6463719796	68705.3072312444	69982.6941598077	73921.9723637395	72592.2396761409	72432.3090594696	66602.4020543925	61185.5155303703	80717.7313331534	82801.5704078249	54111.9373629396	61344.662972106	56844.8787846164	44535.0410994267	44908.3000494892	72324.5714992687	71058.834538515	60933.8516773265	66761.1132095009
Cell Cycle, Cell Division and Death	43041.9828560649	42564.8575215785	41123.8992147077	40251.4743681727	39264.9431718936	41197.3657839035	34657.648896502	36766.851473592	38366.9935808218	42991.4114065716	41485.1355704908	41720.9532343562	38096.7399730422	38349.1723473369	44570.8019366624	42716.3036506033	46255.3330464303	29430.9174544984	34550.806988481	26947.1353523733	42662.6486500076	36928.7193340981	42947.4195752467	43979.0098842417	40770.6804375497	42172.8053764434	42107.5819837537	44150.3141221991	46373.5032630594	29454.2276580225	38849.4667417697	34096.1706382644	35426.9921497944	35422.9049272527	34796.7063247389	36043.0197025124	41818.7167642551	23724.3531824661	32892.2562611906	34678.5126179394	37966.5627783013	29886.4212150223	32034.6569917688	37300.7564648945	30541.301381449	32216.5199806293	37687.1657815065	39040.9100880194	32555.775820984	42739.8265854151	31731.6554074365	42616.8670888155	45554.8896966452	44026.0464517218	39329.3420624052	42227.8299694305	21280.5836535796	21811.1142517997	32891.6105285743	37093.3607735687	39092.7760216368	38245.1331878746
Cell Envelope, Capsule and Slime layer	25097.6945592868	24382.4516807589	28015.5384087668	27862.273141051	21288.8376005313	25775.6398319941	22057.2240730998	19518.255763058	31156.2155998644	24877.5854622942	24265.8464591893	23078.9678202341	21091.4477795169	23481.5346846705	24991.9141566741	29389.4733348924	23359.1566649938	22148.1621802327	25524.0021195343	22080.6939148894	24640.0484664569	28740.0222760736	25961.6575240339	26991.6421568018	32826.2777222481	29278.9791040605	31573.6713196251	25161.6215129511	21536.2175263838	14449.4745364713	39401.6716986773	29390.7323707698	27653.6801460888	26632.1581417635	20733.2943261398	29043.3132054131	18871.1024356215	22252.4510751376	18871.9625169036	28660.5991293421	19239.8384600652	18958.1682408377	25736.5104259603	24543.8243260228	24333.7754335712	26810.9951116095	31330.4063402557	24013.9202449756	21444.7955445501	16444.0865790422	20488.0287758212	20453.1947327679	20026.3757328011	29491.3396181652	24110.8368909914	21637.5539619083	25554.4275520778	23816.133665676	45423.4273057635	37252.9032736161	34937.7163493596	29781.2152996411
Clustering-based subsystems	1482.90298005583	1356.26228852677	1249.68662905818	907.948587724034	1166.7358688679	1218.50371810926	967.171138349438	933.533338196672	1134.17769882479	1258.10175119098	1287.43967585598	1101.52424819318	1113.31898910875	1326.81289558545	1523.14191238957	1274.15950280619	1418.72412203539	691.802182406533	995.381294867874	893.207885707313	1192.30200697468	1066.99672724715	1247.60231274634	1217.7458135961	1104.53304043633	1280.51608871437	1103.29097117131	1252.30399327412	1055.9883304893	323.787662132516	973.580872145232	2309.40084210476	834.977417834894	887.127457945401	872.163703249065	974.127701591374	791.222147089348	681.587372388166	790.374293987716	2581.54423148173	751.15829530788	524.07744361011	2083.54129605329	1236.32060307571	802.805181703774	1056.11963771617	1470.56518212827	1229.2652932143	898.989925346271	516.951962159526	518.513476901222	753.956086241747	813.657438284929	1062.46470455978	1135.80550789695	1067.53518679397	800.079743861562	748.326142550043	689.949704624085	1138.48791519025	1199.06110086581	1196.23278599406
Cofactors, Vitamins, Prosthetic Groups	98374.834498174	92503.1295766501	99348.5719190687	117053.881659439	126056.824667577	99085.9363305555	130114.113438375	124156.742413189	81453.553190269	102554.748863163	102131.837521684	117424.984394377	124218.488454626	126895.556258188	86535.3536094966	89199.7353173867	86397.1473039637	90393.8977503634	92115.293049713	133769.29122818	83412.8232636894	85265.8440848952	90597.5089658774	84214.5423609697	77735.6693123995	85290.5233349366	82537.6641121426	86334.3773626965	84892.3492240069	91087.9675833689	69783.9517518122	81995.0130194002	89131.8307677103	84639.7312270557	96707.0193583522	87533.533474179	81425.1645812557	131183.711283737	88441.9419855275	84084.9269390723	86672.0694019083	89887.8130724017	85476.7740577089	81188.9319597476	97339.5764850993	99405.2860347589	88288.4341767401	111918.294948372	107548.890992382	83997.9752978068	87240.651198572	85763.259690428	87040.8209019632	78831.3915413889	104818.347572478	109284.944267079	153560.222134111	151268.216484716	67926.7526514742	75808.3450862349	81988.1624400477	81013.2215916381
DNA Processing	85115.7288451087	84604.5930039701	81210.8569343631	79591.5847740457	82078.6140412652	83580.0172825456	96604.0021855768	90385.176539247	64309.219474271	88541.22892565	89111.0296238802	90006.5585921576	83697.706997925	88198.9895553509	63977.4497194888	64597.6096809905	65937.5357386772	49966.0894027226	64421.4189562539	94806.4445924995	76575.0596210442	60038.2493037526	69597.3527503459	75257.0938659493	69310.2014636774	77742.5513198601	69462.2106533189	86957.6685322302	92902.3366902225	45183.641270299	56738.2219323079	58282.798557326	57583.7205078924	58000.157516153	63033.9991703698	61868.2601851046	62866.6508194857	87579.3817353775	50372.5276268536	56099.5738615303	64314.8873900397	44837.4538739308	54300.1411664099	61805.0046512985	61810.5984298629	65083.5323054016	63859.793165764	77975.2716469881	65755.9383773547	63126.4559385354	51964.9691300999	71709.8664122228	78457.546781377	76430.6468623696	74924.8449818683	78165.9199596272	102326.486659878	97522.1389162593	59257.0844337576	60602.200610468	65992.689296611	63888.836004159
Energy and Precursor Metabolites Generation	96582.2255302546	89028.1822807198	97344.0010512058	91163.9559357184	104533.652876675	95847.5636978166	101942.965186453	92158.0919900786	76979.1315978006	93822.3847217345	93218.5730894861	105134.696752803	105883.194344866	99044.2676661769	78403.6821159422	81004.3095265455	76033.6702997824	98228.9932972401	90118.284930284	88199.2705537747	68303.8752463089	89738.5383133268	81132.6345436485	70901.8456941203	71185.2950521372	69820.4594166238	72353.1269079101	77568.923489656	75701.1405146827	97388.4372796016	66406.4759297865	88312.9773213457	89891.6036515522	86358.8438038665	90999.1892503182	91193.2079479722	77060.6561857893	91466.9573470654	93586.4279753095	96353.0289429032	91611.4409691258	98326.4604094702	92714.0856112184	81321.4877861305	91954.4654589996	92415.7042016335	90335.1749177103	100323.521421612	100843.709367076	71520.4072336697	88672.5404139772	70535.1954351111	68312.1829610142	62630.2999073972	107835.391684965	111686.19876322	94042.3518645834	93533.9083332525	73748.2333269933	73269.6888723592	74747.243365484	74379.5071184457
Fatty Acids, Lipids, and Isoprenoids	55902.321231026	53792.195510808	62084.2128432999	59952.654406175	65668.1306461132	51210.5272423159	58962.6675875752	62102.8778815289	41786.2328496271	50262.3305813006	50956.5110096484	60616.6295965956	61672.9536191089	52377.4702157524	44369.5798131991	47462.4833919133	40295.456345814	61714.1931951514	54439.2710988666	60035.1769507137	47134.020091442	54933.2607184329	45125.6564653325	45745.8804361912	46401.570348909	48059.8919663783	43884.7194295844	55491.2816188005	60669.2058242072	53118.3250563463	40017.7721575938	52794.1789602438	55609.6850389808	49658.8359592215	59853.0162018282	56558.8635004475	52387.505601265	57599.6887388923	51986.6373486351	51864.008703366	59889.3411803285	56316.452029745	51391.0656551717	46840.5675695378	56485.4839502901	53370.5783411474	53229.8734305412	61008.4355792615	62160.6037793199	47611.0726483167	49035.8940597483	50293.3672226387	51155.3793571791	45976.5865558875	72540.3265434189	78404.3823649891	56997.0016523426	57335.884091124	33965.7948724836	38988.4168113011	42699.4652779962	39895.8413606202
Iron acquisition and metabolism	5569.67066416806	5517.11870663577	2278.56520473999	5774.01196848711	3852.07902338317	4802.06804486023	3923.37736267975	3159.65129851181	7581.44131015903	5109.97897832758	5026.44116267746	5462.81442849151	4159.29375282485	5094.61120541234	7952.30953570638	2933.32845950017	7004.27823818317	3221.60696703555	4747.33446491028	2734.17989985204	6639.67470697724	6596.84345812457	4074.8418019135	6695.91187439169	5632.77016218767	6037.19679600805	12457.0264547688	7045.25819650175	8441.57038044394	3204.91732199877	20260.7539997874	2691.80856711563	5391.83144152013	4264.71746442301	8666.24324121582	3379.53047698842	13680.6621957121	2664.30866678155	2883.9989912279	2261.99377945567	5568.84538852306	2689.33041524883	3051.45194194448	6667.24194522882	2327.64193221103	3185.32542313426	4266.68690530721	3686.50372972009	3168.22044240162	8877.23759602169	5564.85984203196	11057.1496072392	12615.2355960274	6422.50693585184	2654.4297245088	2610.939365351	1115.08653310164	1471.91987721155	15053.88203056	12117.3929121861	8790.4928859635	7054.63656873802
