	H800_swab_1	H800_swab_2	H801_swab_1	H802_swab_1	H802_swab_2	H803_swab_1	H803_swab_2	H804_swab_1	H804_swab_4	H805_swab_1	H805_swab_2	H806_swab_1	H806_swab_2	H807_swab_1	H807_swab_2	H809_swab_1	H809_swab_2	H810_swab_1	H813_swab_3	H813_swab_4	H814_chip	H814_chip_2	H815_chip	H817_chip	H817_swab_1	H817_swab_2	H818_swab_1	H818_swab_2	H819_swab_1	H819_swab_2	H820_swab_1	H820_swab_2	H821_chip	H821_swab_1	H821_swab_2	H822_swab_1	H822_swab_2	H823_chip	H823_swab_1	H825_swab_1	H825_swab_2	H827_chip	H827_swab_1	H827_swab_2	H831_chip	H831_chip_2	H831_swab_1	H831_swab_2	H833_swab_1	H834_swab_1	H834_swab_2	H835_chip	H835_chip_2	H837_swab_1	H837_swab_2	H838_chip	H840_chip	H840_swab_1	H840_swab_2	H841_chip	H841_swab_1	H841_swab_2
Amino Acids and Derivatives	202837.364285717	159801.354761905	221330.711904761	68832.7357142852	74302.6190476188	112218.23095238	49668.8071428573	88704.8071428555	146894.542857143	211567.89047619	361847.77619048	352510.342857143	279145.116666667	205209.01904762	194531.376190478	53848.2071428573	274995.185714286	245270.854761906	97656.016666667	90470.6190476184	388354.838095239	101613.023809523	275960.976190481	59348.2666666668	100164.342857142	92819.561904761	117700.683333333	70838.7452380956	57035.6095238096	165558.019047619	94279.6238095232	53358.3571428574	209527.023809525	99818.6261904759	212099.566666667	76326.2690476188	49253.2952380958	11788.6047619047	75132.204761905	156974.652380951	74211.685714285	139412.321428571	131629.357142857	49165.9309523813	1136.48095238095	44344.4357142859	107386.559523809	191745.335714286	292744.707142857	88941.228571428	175659.473809524	274009.350000002	80666.8952380956	106085.611904762	148743.576190476	221217.966666667	67522.1928571431	508365.009523811	341190.845238096	159728.323809525	369988.25952381	391176.273809527
Carbohydrates	130604.799999999	108457.183333332	143576.95	40157.7166666668	45098.7833333334	47419.5166666666	37736.1666666667	53454.3000000001	108023.199999999	151335.299999999	227166.2	174958.366666666	192562.433333333	125005.7	103084.033333333	29984.2000000001	220947.216666666	150040.283333333	62510.0999999999	59112.3499999998	281439.216666667	69697.4666666667	181093.999999999	28302.55	62652.5833333333	60747	93650.4499999996	29669.5166666668	38337.5	129813.433333333	57456.35	32362.9666666668	136288.266666667	67591.7666666666	155355.016666667	48767.2166666668	31966.8500000002	8015.51666666667	52039.6666666666	112358.85	49107.8833333333	62246.4500000001	91366.7166666665	27553.4166666667	735.433333333334	27112.4500000001	87324.3999999999	164460.166666667	158945.833333333	55765.15	104602.666666666	179560.950000001	53046.0833333334	39585.8500000001	54775.65	125860.383333333	43667.2333333334	358600.533333334	240188.9	76873.9833333333	209166.766666667	258230.400000001
Cell Cycle, Cell Division and Death	89313.7499999998	66125.4333333333	103589.383333333	17304.1166666666	23603.5666666669	26096.1333333334	24340.5333333334	30448.1166666668	59369.8666666667	96496.5333333331	144351.083333333	140716.966666667	111986.933333333	91696.0166666662	92704.1166666662	13106.9333333333	99469.9166666662	71819.85	30792.6166666669	30310.1166666669	158936.316666667	39219.4666666666	104047.616666666	19838.7166666667	30152.1500000001	30571.5000000002	45977.9833333333	13766.3666666666	16594.4	52416.5166666667	33936.1000000001	13691.1666666666	79562.8833333332	28661.7500000001	72173.5333333334	21678.3000000001	14715.9333333333	4485.43333333333	26531.0500000002	60427.8333333334	22072.2666666668	43406.9666666666	58631.4833333333	14289.5833333333	384	16415.05	46105.0166666667	90480.9499999999	129320.016666666	35752.2000000001	77705.2166666664	107794.466666666	30388.95	18915.6666666667	26603.5000000001	86517.4666666666	23477.1333333333	163083.566666666	125380.799999999	54735.4833333333	134193.216666666	147931.266666666
Cell Envelope, Capsule and Slime layer	50080.3547619048	45495.3142857143	52313.1166666666	13022.169047619	17436.8571428572	21383.3761904762	14058.0095238095	23696.4500000001	35889.0047619048	59223.7047619048	116223.440476191	97694.4523809522	83971.5428571428	52258.3023809523	43052.5166666668	6429.91904761905	100883.778571428	61908.3595238095	24036.1690476191	22788.1880952382	92675.4499999998	22466.1095238095	70882.1404761905	13732.4595238095	17965.8785714286	24634.3857142858	20748.0119047619	12912.2761904762	9521.05238095238	43320.45	17197.3714285714	8684.8619047619	43137.75	23026.730952381	47490.0428571428	17272.1809523809	12246.7857142857	2806.36666666667	22056.011904762	37168.9380952382	14539.2095238095	27625.5666666667	22558.3785714286	9226.28809523808	203.852380952381	13329.9690476191	22127.2690476191	39776.311904762	86626.4595238096	21917.8714285715	39816.1785714286	62376.7857142857	17775.369047619	22714.5571428572	29049.0666666667	47859.2571428572	12997.6142857143	225218.966666666	125920.076190476	33515.0166666667	119930.202380952	115193.033333333
Clustering-based subsystems	3052.16666666667	1972.41666666667	3177.25	406.750000000001	680	865	680.25	879.750000000001	1724.66666666667	2671.91666666666	3910.66666666667	4272.66666666667	2934.25	2600.91666666667	2111	144.083333333333	2492.75	4864.5	725.75	759.083333333333	5475.74999999999	1249.66666666667	3161.83333333333	447.5	755.75	826.25	869.916666666667	395.5	398.75	3902	671.416666666667	240.083333333333	2364.16666666667	1864.16666666667	2392.16666666667	569.833333333333	482.416666666667	132.666666666667	1035.25	1902.66666666667	609.5	1211.33333333333	709.166666666667	233.5	9.75	485.25	815.666666666667	1616.08333333333	3120.83333333333	1032.5	1964.41666666667	3154.5	943.083333333333	711.166666666667	912.75	2284.25	686.083333333333	3420.91666666667	3848.25	1893.75	4116	4627
Cofactors, Vitamins, Prosthetic Groups	173404.933333334	138082.433333333	193487.466666666	53147.7333333332	62929.0499999997	129544.799999999	47589.9333333333	70302.5833333334	125240.633333333	184779.316666666	275227.883333333	284586.8	219512.48333333	179308.316666666	169706.183333334	40533.5333333333	178674.366666666	172713.516666666	77472.0666666663	72423.1999999994	363257.75	85232.833333333	251361.916666671	57692.2666666671	83798.8666666667	74245.4833333331	89523.6666666661	76121.0666666669	44619.6500000001	127094.233333334	77471.1166666668	41178.1999999999	255430.000000003	76476.9833333332	157093.116666667	69091.9000000001	45406.5666666666	10788.15	62153.3833333322	173228.033333334	72916.333333333	162961.4	115230.366666666	39286.7166666668	1296.71666666667	34849.3333333334	92782.8999999997	172880.15	231555.583333334	95284.7499999999	201099.85	257140.533333334	74814.25	136495.033333333	184505.2	243506.233333335	76549.6999999998	336795.216666668	256242.916666666	181117.066666667	281439.600000003	313357.216666666
DNA Processing	128202	99998.0000000001	147667.916666667	29377.9166666669	44009.8333333333	91812.4166666665	43688.7500000001	49502.1666666668	96210.3333333332	165125.333333333	245396.999999999	259401.666666667	184737.749999999	180602.833333333	185718.75	20106.4166666667	145272.166666666	122766.333333333	50050.9166666668	49628.6666666668	314297.333333335	77955.083333333	205471.666666667	39228.2500000001	54620.4166666667	52476.3333333332	69119.3333333332	50819.0833333333	25413.3333333334	84794.4166666666	57487.3333333333	20540.3333333334	166316.583333334	48582.9166666667	119587	43873.3333333333	29729.0000000002	9099.91666666665	44956.0833333333	120690.749999999	44581.4166666667	120991.666666666	86598.3333333333	23401.1666666667	944	27514.2500000001	77579.2499999996	155832.083333333	224503.75	68110.1666666667	143836.416666666	222003.749999999	65276.1666666666	90954.9166666666	118949.916666667	186648.166666667	51578.7500000001	293809.166666667	204844.000000001	125885.75	226532.166666667	247120.5
Energy and Precursor Metabolites Generation	157110.183333333	125395.799999999	170278.333333334	57754.4333333331	61564.783333333	85413.8999999991	38969.7499999999	73990.3666666662	112156.533333333	155569.266666666	252035.883333334	232968.216666666	192426.266666666	161103.299999999	151332.266666667	43337.2	170026.7	186021.616666666	78132.4500000001	73894.1833333336	356638.383333332	82031	246290.150000003	44931.9166666666	78852.8999999998	77349.5999999999	84725.0666666663	53074.8999999996	47215.0833333335	145637.45	81886.1333333335	45043.9999999997	211817.416666669	82952.2833333333	157349.6	65269.5333333326	42213.8500000001	10435.5666666666	63594.249999999	155281.55	68370.3333333331	127678.449999998	98113.3499999995	39931.5333333333	962.516666666667	32934.9833333334	76308.433333333	135681.4	183967.266666666	98027.383333334	205518.5	235245.450000002	68285.0499999999	83591.4000000002	114085.383333333	218019.650000001	65250.5666666668	365659.349999998	247661.899999999	141365.133333333	256583.799999999	287698.166666666
Fatty Acids, Lipids, and Isoprenoids	88910.5285714284	73472.5857142857	90242.1666666662	36285.2976190478	37190.4761904765	58139.2404761907	26891.6071428572	45293.05	62381.0285714285	100373.311904762	164287.592857143	160360.264285714	116713.307142857	115250.130952381	121282.299999999	23637.2976190476	102461.238095238	111205.157142857	48335.1142857145	42491.2952380953	206424.250000001	49564.3904761908	157079.326190476	29548.8238095236	51864.0214285714	47972.9309523812	57597.9380952383	33422.9738095239	26227.6642857143	78392.3666666666	53531.5952380951	25798.9380952382	133063.883333333	45980.1357142858	90632.1904761901	40093.5523809525	24378.730952381	5575.63333333334	37472.8214285717	94429.3452380954	42143.8404761904	73847.7833333335	65313.9714285715	22082.1285714286	648.614285714286	17877.9476190477	54409.8309523811	101604.621428571	135049.44047619	65942.5285714282	144275.221428571	126025.197619048	37326.980952381	50662.9095238095	69933.8500000001	125701.759523809	38005.9857142858	168409.6	131786.357142857	74757.966666667	146573.847619047	154316.166666666
Iron acquisition and metabolism	15935.3333333333	4540.83333333334	15686.1666666667	1894.16666666667	3243.16666666667	2647.83333333333	3788.16666666667	5439.16666666665	5632.99999999999	14691.8333333333	19943.1666666667	20144.1666666667	33130	14632.3333333333	16875.3333333334	1426.16666666667	51875.4999999999	5670	4686.50000000001	3649.16666666667	20566.5	5083.5	5764.99999999998	2845.83333333333	7509.5	2866.50000000001	15041.3333333333	1546	1455	3419	4977.66666666667	1232	7805.49999999999	2730.16666666667	12900.5	1652.16666666667	1455	522.833333333333	3003.66666666666	5705.99999999999	2148	4913.83333333333	12178	2506	33	3243.66666666667	11962.1666666667	25056.3333333333	18865.1666666667	2413	4804.49999999999	12812.5	3682	991.166666666666	1795.33333333333	11328.3333333333	2563.16666666667	74640.3333333333	40958.5	7271.5	30175	27287.1666666667
