	H800_swab_1	H800_swab_2	H801_swab_1	H802_swab_1	H802_swab_2	H803_swab_1	H803_swab_2	H804_swab_1	H804_swab_4	H805_swab_1	H805_swab_2	H806_swab_1	H806_swab_2	H807_swab_1	H807_swab_2	H809_swab_1	H809_swab_2	H810_swab_1	H813_swab_3	H813_swab_4	H814_chip	H814_chip_2	H815_chip	H817_chip	H817_swab_1	H817_swab_2	H818_swab_1	H818_swab_2	H819_swab_1	H819_swab_2	H820_swab_1	H820_swab_2	H821_chip	H821_swab_1	H821_swab_2	H822_swab_1	H822_swab_2	H823_chip	H823_swab_1	H825_swab_1	H825_swab_2	H827_chip	H827_swab_1	H827_swab_2	H831_chip	H831_chip_2	H831_swab_1	H831_swab_2	H833_swab_1	H834_swab_1	H834_swab_2	H835_chip	H835_chip_2	H837_swab_1	H837_swab_2	H838_chip	H840_chip	H840_swab_1	H840_swab_2	H841_chip	H841_swab_1	H841_swab_2
Amino Acids and Derivatives; 	766.644491751805	755.053495557888	773.419909159011	421.374285657574	688.838011289079	610.53082361208	1369.03671583654	656.349033507907	1019.43383798094	1127.99958406276	940.952563300455	900.871739663286	1148.16083203062	1148.46359294752	1153.07489379696	332.589293202631	1307.83940712773	1093.06259407463	615.327255444293	643.846703752009	1116.53844889227	932.814700177721	1070.04952835492	1110.33489303235	606.638950280638	764.761475460137	650.69854706026	436.870793679898	577.625685700114	995.369886279924	775.211769329157	341.805455238944	1004.61839283416	453.312270357236	1031.87505500909	626.347710498631	662.788502992371	1183.29569610359	865.316870430467	821.53815299391	833.231159956572	731.632762609412	580.674947859332	524.990269082358	853.744163991828	861.102456895824	1123.69343952744	1240.81395760524	773.826095636115	1141.85580358066	1086.96303200394	1247.59929033145	1216.22493369058	380.914459726919	438.556149824589	1167.83029355886	995.131111484428	951.972941453627	991.427987211956	780.673937376153	876.281776337308	945.412562405288
Amino Acids and Derivatives; Alanine, serine, and glycine	4722.46353101988	5245.59231196686	4347.15199939431	6254.42464766144	6047.67326433326	7477.64728826532	4089.43667662345	5786.26149804861	5042.85484492089	4207.51440812205	4655.64159984291	4041.47281151209	6077.10878068594	4124.76699921736	3356.96906104151	6008.70498969572	4701.55622320956	6115.51687690673	6332.175742143	5427.16705691793	5634.05639826991	6468.29305235703	6332.75125636542	7844.03330172833	6081.19964839027	5796.52650188498	4929.3162502113	6721.23274655257	5490.49979773285	6731.73053698786	4872.50663865902	6062.08983280351	5862.91971102138	5885.32889651387	4844.15788168131	5786.93626957601	6005.04992141395	6149.92297425118	5902.38437666265	5773.11049670562	6400.35594649043	7664.24575229316	3970.4462043136	6321.16411758346	6885.80573387801	5558.11348337011	4476.74906213709	4018.31730491934	3350.1540605434	5671.41883430673	5486.21517007403	5726.6661974682	5915.26030091752	6688.08164607407	6746.27666336336	7888.57086634248	6400.40095633503	3920.86932822427	3635.96734923177	7811.8189214806	6238.0454611552	5477.49830661878
Amino Acids and Derivatives; Arginine; urea cycle, creatine, polyamines	19824.7570163536	18166.7722866409	18494.9128962641	25026.0608788575	22101.6121681288	23229.0843848889	15060.1341829163	21443.8345767333	19268.5112119065	19662.8178000607	21860.1417881412	19266.4075089881	25803.4913664876	20022.7001901776	20422.1106529304	20174.8365626722	34586.7102818158	26907.2060803868	21427.0602979105	19872.667916201	20924.9573639628	19612.5330790808	18290.9038654104	18488.1665217617	19697.1089474761	20575.8564083589	18795.5999650557	23344.0084717555	19007.3042335955	23241.396161575	19489.8400935971	19568.7716058166	19414.3697060256	26516.8584463601	23402.2319854965	20520.254588902	21503.8655756162	20258.3897053491	22777.6022172682	19229.9366697024	21555.7232947432	19158.9177059924	15598.0990753878	26086.4833423585	24152.1830318062	21955.2884061873	18730.0470026854	18991.745546553	15453.116481981	18801.0188236966	18663.2757212052	21542.8072461027	21649.281618282	20964.7330961541	22287.7255154195	19683.9742965951	22161.1736393928	30759.9313259498	24766.7162528817	21151.7621726737	24721.3130588006	20467.033658095
Amino Acids and Derivatives; Aromatic amino acids and derivatives	14215.8386989935	17046.0890076929	14376.270478883	17676.1764754452	17241.5654095349	23226.5028592077	10949.8106770637	16093.5893599524	18100.9035004847	13564.5178265185	16019.0477693882	16094.4878387767	13128.0376770469	12280.0903098751	10825.4227674391	21172.6044422801	14500.3110017852	18437.0688259224	18140.9366331624	17906.2621083872	14464.3578491556	14781.9565858491	14928.3239451686	19089.5767874105	20348.851522944	18220.1670587818	18202.8086620204	24498.2262787263	19391.8374324259	16660.2887845138	15908.6693800107	20365.7113074674	12997.0345474114	18193.4974995337	15592.7738236519	18257.6541996369	19115.236379448	15124.1416267832	16703.2198361274	14781.8182396577	15524.1080887557	19442.8279459028	13066.3101354483	16331.3240103368	18487.1516632623	15449.9816977812	13880.0172709603	12449.7601700182	18090.0999752821	12458.6588665248	11591.1777739565	14689.5859432726	15490.6853213712	26224.0339481749	26854.2708492917	13886.9773994605	14359.8271313552	13523.1721977024	13917.0464851336	19477.9636208302	16225.7544398118	14143.6364991514
Amino Acids and Derivatives; Branched-chain amino acids	15695.4729646638	17695.695562776	16114.8782473498	20644.3068960731	17562.8930329345	12952.1511190908	13897.920894971	17909.5153046763	18571.6358613165	13794.3562872227	13562.8127644011	12913.8069530106	12782.0948098658	13851.0254418948	13485.2027541964	25357.9485579911	9383.52561230496	17278.158992296	19124.9233405597	18679.4624941727	17267.0848776981	16432.3168811664	17776.8861681247	16664.0521579777	18850.4302350045	18422.1843437049	16222.0928960441	15657.0930852087	22572.6603748128	17780.0054771256	17621.8734056502	23414.3467441041	17951.5535335155	18424.3356197008	15325.6982532557	17726.5911755189	16477.6555754671	17763.9778854257	16530.2511615619	17180.9853050501	19608.0838688385	15529.9899274934	16518.795987171	17296.5881067722	15996.1336445871	14717.7427074047	14215.8158163589	13066.9281267905	10461.6771591125	17986.0806635592	17709.5904245228	18547.7247641622	18780.3058585093	12691.2297799963	12881.6765161937	17002.8632316704	18589.9524749119	11021.0906280128	13350.5070496004	14936.4976463431	15306.653908014	14743.9073348866
Amino Acids and Derivatives; Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	7036.8155903466	5894.78820260375	7228.71061431083	5726.64884976848	5360.69985035776	3045.65941276219	4646.05711270361	6470.18822204005	6091.35335934392	5109.83269012089	5434.52340099688	6272.83910034355	4500.8355820905	5278.85938842899	5375.61684879692	5016.71568854115	1954.59177821594	4169.79390848291	5307.84473604035	4964.00702563016	6792.62885653679	9619.26560373854	7870.93569024628	8177.624095691	5865.69691775113	5896.38845126646	6247.61558964276	3055.42845689677	5112.43211783223	3985.57513407399	5394.9571510802	4911.67656602233	8461.56403268061	3179.16015676994	4508.31073952342	4752.29270516444	4554.94759329096	8416.68540965346	5301.58356031218	7360.42438043016	6815.59313846255	5607.84745126508	4263.11373702857	4753.54248677048	5758.49868689815	4841.78486830802	5114.78808648862	5281.88353422592	7022.84508892307	4212.60349299253	3812.33454056972	8992.10063388878	8679.71518146551	2539.68866566495	2683.61265926758	8789.4490027109	8205.96322867196	2554.2331496207	3580.3096305911	5350.85728919782	3827.06022312183	4832.99368369157
Amino Acids and Derivatives; Histidine Metabolism	6861.58256366047	7104.32880885278	6805.97612705062	8142.99783351076	7975.83417753392	10097.6204919795	7256.69793351942	7295.07592857205	7991.50286993416	8492.46199981269	9361.5106440323	10565.0869005264	8454.71006700212	6948.22279304356	6508.57648812902	7141.08164405251	7235.52884211739	7369.19388045778	7619.01314048723	7113.84869251622	9596.03356177587	9676.81747221789	8627.95611333778	9107.34992328446	8123.49949045428	7673.78798906468	7561.65526007657	9902.40465674436	7036.82539660337	7378.02077488126	9537.40755657934	7145.49852376259	8454.8828703357	6849.36491934221	10388.262897801	7931.68701839157	7961.48920192322	8329.29953640212	7221.88014838828	8810.09353190323	8358.91009831399	11031.8190844908	8716.4782925365	6056.05976104931	10104.5010213014	8729.68179961668	7951.01691373224	8324.655833081	10260.7592675853	7583.99063684565	7672.16023202764	9295.50210444069	9350.83693102405	11213.8666888644	11595.7006204999	8846.75350009969	9738.03202950208	7247.80139202409	8465.74081422342	11866.6175159957	8692.20250320546	9274.10038884348
Amino Acids and Derivatives; Lysine, threonine, methionine, and cysteine	25505.6137904585	24174.1625271129	24995.5738129331	25446.1798088996	24645.2191482649	28284.9901386083	21670.2209539825	25031.2589511977	23364.1848515425	23077.0267575597	23654.880207871	26845.8222836509	25231.776644952	25359.0512553164	26228.9030847322	25124.6170507955	25330.12944939	27013.4813140646	24761.888581818	23235.8580839166	21644.2876425069	25454.5567867606	27080.1305998325	29970.0809805608	26578.5922604373	24287.6331349269	25575.2952052941	31375.0945019791	24194.4673676707	25235.9479823153	22181.5383769306	24897.8494659958	22993.0216316842	23903.6833212665	26494.7131595803	24475.2433052678	24354.004693179	23463.3037830143	24397.8264633655	21260.0734085146	23069.667420751	25690.5356409004	23963.2704563491	23332.8949734633	21525.9793551211	24544.0773157641	25005.6893335244	24877.4573494852	26694.7712108038	22594.3446833347	22376.9571776568	21871.9729813962	21547.4325107624	31399.2124514195	31434.3828946735	22842.1915155857	23012.2306757999	26333.7986980948	25907.4899276998	23972.1038912812	25086.5657199663	24586.2512292733
Amino Acids and Derivatives; Proline and 4-hydroxyproline	6594.01594256306	7147.43780922658	5692.9807833473	7732.84885677483	7139.54311364238	6953.51152411859	8117.23529775954	6898.73975672145	6811.29615950955	7387.10596295593	6711.17739980086	8746.38042916806	7833.58209785814	9792.01332987031	9954.8118294054	10679.9365942264	8403.2986259588	8057.82054537441	9024.35232875498	7888.31515108174	7731.50123788684	7301.98375492036	7093.19522061862	9962.58000641773	9441.3716399574	7794.59357876483	8868.145766237	7090.03097080305	9668.33407523155	7524.04584859353	9694.85525784731	9768.10502151187	6263.36056950453	8159.71400640772	8029.3652544142	7454.65308825137	7191.61100687015	7585.79795865631	7024.69207140291	6199.41229206611	7293.81476072914	6453.88456780536	9274.94435233878	8475.53024823443	5050.65472716661	6988.73948334746	8764.23881656108	8287.40707973137	7555.52837526449	7390.1611642147	7061.04807724581	7368.53983329494	7491.76812348643	7247.12494495461	7026.53173838758	6568.39741037071	6106.68920553408	6217.04332388912	6324.61236274416	6561.72471213495	6810.02227111429	6661.19223587614
Carbohydrates; 	2.99421770578411	16.7957144313462	4.01873226794194	27.2128701131027	36.594900546613	143.532827876667	47.3240046869775	46.087951844719	3.61693751279381	27.8012018698297	3.10685222761669	50.948915996593	37.224437640269	2.40742813740179	0.500231326617386	22.4722495407183	1.95282493660662	1.89898311613095	5.75251407395724	7.01209539708737	5.95788075811136	2.17059848790627	33.9907385269107	133.909735843098	4.61614927290276	21.2215414567561	3.63815145706377	1.72335618808638	3.96425978175657	2.64638055508122	2.23753246709558	10.9144903216267	236.390474947222	4.47071891866598	7.75230643606313	4.22652625641063	61.2983586582539	247.98693760515	24.1483777794549	164.749115155735	112.097185112907	464.68927010405	1.45791387683063	4.44122892420747	861.723081412312	81.8057072825709	4.62171691607119	22.6563717152509	3.06398366067973	27.5013440168752	2.71718114824749	169.102914092558	240.264433631513	231.754994940917	36.0737883015085	805.799285862231	131.440065275563	3.42865556851997	5.32522119753774	624.258898992284	171.29444298083	57.3943545473699
Carbohydrates; Amino sugars and nucleotide sugars 	1438.18930225935	1680.51889369228	1402.59709828608	1362.3443100372	1663.79935165194	1719.39936472977	2093.70744686732	1437.27703509432	1985.02353285475	2290.67471089486	1537.9106820777	1805.33987339692	1811.75850048236	1839.37139410046	1381.94740010197	961.175566605755	1349.94882217743	1411.16600331552	1513.33305248285	1643.47933673512	1582.39507517026	1355.48449073527	936.003493803734	1225.6460544528	1820.82084674119	1578.29319711997	2490.43594407539	1648.16041307955	1217.62239196653	1217.93049096226	1714.47196070421	1137.65370785756	1393.74146100667	1418.22380897382	2058.46992796784	1395.62245056821	1436.02351292435	1173.19252457153	1613.77453231251	1781.14252523794	1418.98811760358	1663.63283163225	2169.78892432241	1097.42766717167	1881.42872775022	1860.4955141979	3463.91520570314	3719.32871951708	2627.12767919259	962.730382884078	901.035383299855	1335.59395922915	1337.01696760627	1643.97918215491	1661.8538383445	1362.37624920998	1717.42942903884	1502.90074705531	2432.40325870346	1952.13441260632	1618.79074958482	2048.69407089965
Carbohydrates; C-1 compound metabolism	6928.9108756836	6630.2267030936	7565.6653676275	6546.65118724058	6224.1582713694	4138.94291455288	3803.50620879868	6747.37722013669	7243.09821624525	4609.78868403033	5494.06803963202	5277.56344347414	5284.36612723575	3677.16993515115	2837.12866642072	7881.72953516535	4845.72677886276	6311.73721981061	6660.83604623509	6519.18404675766	7370.02036352653	6746.32863033709	7046.56335278298	7282.15346062507	5723.29420809788	6384.38284981254	5591.67204089857	5133.0164062153	8012.36365789729	6322.55599682971	5226.3351061224	6624.87733542099	8570.0759323272	5720.41525240158	4921.12105724378	6051.23504481022	6321.57567222369	6444.13957553334	6344.72583786983	7875.76145856578	7198.11424721061	6418.32758814562	2705.80311042149	4808.62958696253	7248.04858476801	5500.49889238395	4774.66493454704	4828.65180868603	5549.88438929025	7660.35270206584	7785.78369037687	7443.21365943156	7395.73060697519	3905.61542647396	3940.67877115479	7721.23851912872	7492.19190183075	4870.93634055304	5141.47148166048	6805.51964840806	5884.36710501871	5531.70408591351
Carbohydrates; CO2 fixation	15296.2938408543	10396.5579994869	16267.2998317567	14930.9081223478	12810.0205397415	9335.72621259104	9849.87811627435	13324.7141547832	11469.7308291124	10711.5068381304	10278.3851025687	10745.6059028908	11326.0991586828	11194.9260274203	11176.1099389642	15167.2328362662	10075.2292236839	12859.5496906749	14308.3241313884	13968.5615040245	15975.6149253648	15350.5810363976	15574.6156792023	13464.488676664	12769.9422429605	14047.0295296124	10609.6682328758	10342.8657758161	14387.7192744164	17849.9691630506	12715.6359650497	15027.7615258694	17252.4496779618	16320.1172486487	13171.2978399786	12508.3105330415	13933.5182813218	15592.1021627456	14442.6002276479	16046.1330995277	15403.9477727838	12062.5988915429	10953.4648972985	15659.1070024169	14349.2850889991	11248.5184819457	11122.4390615403	10972.3885179595	9368.68609882225	15221.1138703319	14886.6384714445	17110.0974035447	16967.8565419292	7916.04561198674	8224.16784568391	17169.3677579541	16493.8079771377	10104.9807515205	10357.6982212616	13526.6370648312	11558.3498702188	10999.6797556292
Carbohydrates; Carboxylic acids	1332.01101550368	441.856487347722	1339.72626458316	536.603782542744	497.202715426649	805.436012545323	351.132429837945	474.625047944738	363.381655452018	490.774768527239	683.789931187274	447.251562581856	664.838483039753	631.388152835909	327.067915720001	227.718795345945	1124.69697515631	898.219013929941	441.217829472521	456.37054209377	216.740480306445	167.497849983434	435.489868994974	103.137549071073	254.657568221802	448.796302659546	221.92723888089	117.76267285257	341.587051194691	1202.77996228441	173.408766199908	352.901853732598	654.392003716109	821.680881259818	1270.60302487075	405.27690658693	430.183124155246	225.025184123192	519.900368663558	391.30606828493	473.217283645494	163.146920145351	184.669091065213	931.917869262867	143.620513568719	959.853632115499	395.310853554623	379.536182474371	186.846262863303	395.102642375774	438.281319212319	257.110877244502	200.220361359595	34.3132395422231	84.0355295660142	735.394321328487	564.705465628343	2793.95091710042	1868.36371867685	177.492242137724	907.938232353039	920.851915189071
Carbohydrates; Di- and oligosaccharides	7188.61767530334	16538.6108027432	6383.532944722	19164.6637771526	17722.1784367138	17741.2770917195	17089.2239147419	14712.9722060075	17853.2035631502	18165.1229987836	13529.2116868243	8253.72439144806	11443.6945412281	15019.4626636223	14170.0527890907	19337.3707297881	8903.71001596424	4859.97253995814	18229.7171003705	16528.6775335011	18034.5050548031	15626.1385144373	12991.1812167561	15527.4425516247	22555.6593847211	18076.0374230547	28698.6482311833	17755.738805854	19244.4991105373	7970.23663676587	17403.5275290694	20362.0731440268	14124.7010093203	10117.2369129411	18122.3083453702	20942.4376005147	18122.4218918938	13997.4849226018	15856.9612442385	17977.6818757784	20444.4616164473	14266.4396532975	24890.9636191293	13510.2183874391	20872.8479719871	12492.9001550098	27353.1693960757	27548.1341060371	13881.548196024	14706.6187264642	13454.3941736623	12872.959335296	14003.5940920004	18831.7808753204	18837.0763639877	10977.8699836348	17225.1394185197	10531.6197927633	14826.0075051892	13478.6674509692	9846.22598351884	13860.2195569326
Carbohydrates; Monosaccharides	12421.196096132	20072.9889762462	11386.1550612112	12554.7710136387	12997.6791897445	8379.32257820709	17789.560759412	12688.9632015076	19462.4755142593	17067.1654238453	15807.9842340402	13251.4134513727	20479.0745017168	12893.7357173383	11053.7700308511	13036.1894123199	29289.6270753552	18443.3671199243	13869.1963820294	13910.4779804853	16854.9168814335	16463.9714424484	11070.7506014527	9504.04060792471	14125.7822202332	14019.2646795398	21431.5316494849	8757.63658620485	15594.9354844558	20853.8977842946	13526.5550233329	15053.2650515876	11274.633009928	18048.0687387086	21593.6964170273	13457.7057337385	12818.2530249241	13426.1964959707	13853.0720363869	15253.872910201	14494.4856104073	9733.84294712886	16274.5468156726	13167.2814940082	13648.7361394806	15596.8424199027	19381.2006989906	20179.9715480325	13831.9343568963	8828.66479859072	7734.31122215856	14794.88308408	14515.0206013914	8294.59752079436	8304.35003877227	11356.3127421964	15614.7011208039	24122.521383652	21559.5228944988	10114.5121894301	15233.4847681126	16884.3935930928
