	H800_swab_1	H800_swab_2	H801_swab_1	H802_swab_1	H802_swab_2	H803_swab_1	H803_swab_2	H804_swab_1	H804_swab_4	H805_swab_1	H805_swab_2	H806_swab_1	H806_swab_2	H807_swab_1	H807_swab_2	H809_swab_1	H809_swab_2	H810_swab_1	H813_swab_3	H813_swab_4	H814_chip	H814_chip_2	H815_chip	H817_chip	H817_swab_1	H817_swab_2	H818_swab_1	H818_swab_2	H819_swab_1	H819_swab_2	H820_swab_1	H820_swab_2	H821_chip	H821_swab_1	H821_swab_2	H822_swab_1	H822_swab_2	H823_chip	H823_swab_1	H825_swab_1	H825_swab_2	H827_chip	H827_swab_1	H827_swab_2	H831_chip	H831_chip_2	H831_swab_1	H831_swab_2	H833_swab_1	H834_swab_1	H834_swab_2	H835_chip	H835_chip_2	H837_swab_1	H837_swab_2	H838_chip	H840_chip	H840_swab_1	H840_swab_2	H841_chip	H841_swab_1	H841_swab_2
2,3-diacetamido-2,3-dideoxy-d-mannuronic acid	328.5	523.5	472.5	184.5	269	803.5	251	369	208	1302	2483	1634	612.5	804.5	521.5	96	183	1389.5	304	421	1742	379	503	114.5	273	389.5	360.5	394	76	699.5	309.5	132	795	499.5	1448.5	327.5	199	26.5	375.5	1072.5	258.5	811	547	121	8.5	280	589	1108.5	1767.5	153	245	691.5	190	748	1042	598.5	327.5	1269.5	2430.5	999.5	1775.5	3077.5
2-O-alpha-mannosyl-D-glycerate utilization	707	1229	562	1269	882	480	905	969	2455	3545	1199	1246	1188	4637	2310	1211	691	117	1837	1440	10686	1783	2403	233	2799	1245	6358	395	1560	1582	3052	1153	1653	993	4272	910	478	144	732	1502	1162	881	5813	610	14	216	4502	9915	7453	1059	1328	3970	1235	94	187	2886	980	523	3402	1125	1048	1053
2-aminophenol Metabolism	1464	833	1657	680	786	884	296	856	1677	2285	2635	3768	3088	2865	2744	486	5079	3950	918	741	2774	656	3019	409	1413	868	2424	539	457	2451	1275	458	1933	1138	2732	767	369	165	580	1767	702	1005	1700	681	7	392	2294	4193	3279	376	474	2412	693	1103	1323	1327	704	1983	2643	1388	2620	4399
2-ketoacid oxidoreductases disambiguation	507.833333333333	629.833333333333	371.666666666667	209.5	433	1170.16666666667	85.5	516.5	348.5	561.333333333333	1352.66666666667	781.666666666667	812.666666666666	597.833333333333	214	56.6666666666667	77.8333333333334	3544	450.166666666667	490.5	416.666666666667	208.166666666667	1653.66666666667	452.333333333333	485.666666666667	428.166666666667	282.666666666667	685.5	99.1666666666666	1660.83333333333	52	107.333333333333	1012.33333333333	1113.33333333333	1565.33333333333	521.666666666667	345.666666666667	35.1666666666667	473.333333333333	1037.33333333333	386.5	1225.83333333333	26.1666666666667	98.6666666666667	7.5	327	242.333333333333	692	357.833333333333	166.166666666667	181.333333333333	389	155.166666666667	1548.5	2051	617.666666666667	423.5	2442	2408.33333333333	1079.83333333333	3221.83333333333	2999.16666666667
2-oxoglutarate dehydrogenase 	2895.06666666667	1970.26666666667	3585.03333333333	914.5	802.816666666667	714.3	399.35	996.550000000001	1378.83333333333	1930.91666666667	3727.68333333333	3517.53333333334	2010.91666666667	1682.88333333334	1502.06666666667	642.666666666666	1664.78333333333	2514.68333333333	953.183333333333	945.433333333334	4414.56666666667	612.166666666667	1830.75	116.866666666667	792.733333333333	1108.73333333333	759.816666666667	480.05	602.066666666667	1525.8	793.416666666667	662.35	1936.91666666667	917.3	1491.53333333333	857.55	538.416666666666	76.25	837.433333333333	1713.06666666667	848.933333333333	1111.7	1145.01666666667	543.433333333333	7.3	410.183333333333	814.783333333333	1317.98333333333	3468.06666666667	1137.45	2218.51666666667	2622.5	739.45	515.916666666667	698.916666666667	2218.15	661.133333333333	2999.2	2568.16666666667	1287.73333333333	3155.35	3518.23333333333
2-phosphoglycolate salvage	1228.25	1364	1253	77	132.5	285	136.25	208.5	467.5	853.75	2300	1868.75	1053.5	415.75	221.25	40.25	824	1551.75	142.75	160	147.5	44.25	265.25	39	262.5	153.25	400.5	56	81.25	913.5	88.5	46.5	316.25	483.75	1174	112	87.25	5	115.5	354.75	151.5	236.75	218.75	178.25	4.5	369.75	184.5	438.5	1220.25	100.5	196.75	142.5	38	81.5	179.75	237	131.75	2391.25	2208.5	284.25	2191	3814.75
3-amino-5-hydroxybenzoic Acid Synthesis	2686.25	1913.75	3162.66666666667	772.666666666667	676.666666666667	425.166666666667	437.25	869.333333333334	2034.25	1790.58333333333	2823.75	2510.41666666667	1775.25	1500.25	1442.66666666667	732	1788	1727.66666666667	954.166666666666	941.416666666666	2748.08333333333	755.5	1854.66666666667	337.333333333333	918.249999999999	827.25	960.25	312.416666666667	809.166666666666	1463	1002.33333333333	661	1002.66666666667	911.416666666667	1362.75	653.5	395	76.6666666666666	670.25	970.583333333333	590.75	556.333333333334	1292.16666666667	522.75	2.75	290.666666666667	907.25	1082.33333333333	2469.33333333334	568.833333333333	1004.25	1820.25	571.5	316.583333333333	452.75	1237.66666666667	316.583333333333	2643.58333333334	1667.08333333333	784.916666666667	2263.58333333333	2265.75
4-hydroxybenzoyl-CoA reductase	19	54.5	26.5	25	73.5	13	3	93.5	15	6.5	8	2	4	10.5	19.5	0	20	5	124	103.5	1	1.5	111	29.5	23.5	100	3.5	13.5	9.5	5	3.5	19.5	1.5	10	4	39	41	0	65	19.5	19.5	51.5	7	3	0	3	16	10.5	6	13.5	10	0	0	6	7	0	0.5	6	3	1	2	7.5
5-methylaminomethyl-2-thiouridine	3788.5	3547	4360.5	1639	1733	644.5	1398	1793	1630	5512.5	8286.5	8228	7112	5549.5	5477	1227	7093.5	2740.5	2600.5	2577.5	4139.5	517.5	2513.5	210	1898	2174	2380	594	1121.5	1903.5	2588	1323	943	1754.5	4083.5	1572.5	909.5	141.5	1570	1684.5	1071.5	314	4886	1071	9	838.5	3092.5	5400.5	7094.5	1100	1783	2944.5	1070.5	123	211	996.5	268	11350	7571	737.5	7288	8930.5
5-nitroimidazole antibiotic resistance	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
