#NAME	H800_swab_1_S1	H800_swab_2_S1	H801_swab_1_S1	H802_swab_1_S1	H802_swab_2_S1	H803_swab_1_S1	H803_swab_2_S1	H804_swab_1_S1	H804_swab_4_S1	H805_swab_1_S1	H805_swab_2_S1	H806_swab_1_S1	H806_swab_2_S1	H807_swab_1_S1	H807_swab_2_S1	H809_swab_1_S1	H809_swab_2_S1	H810_swab_1_S1	H813_swab_3_S1	H813_swab_4_S1	H814_chip_2_S1	H814_chip_S1	H815_chip_S1	H817_chip_S1	H817_swab_1_S1	H817_swab_2_S1	H818_swab_1_S1	H818_swab_2_S1	H819_swab_1_S1	H819_swab_2_S1	H820_swab_1_S1	H820_swab_2_S1	H821_chip_S1	H821_swab_1_S1	H821_swab_2_S1	H822_swab_1_S1	H822_swab_2_S1	H823_chip_S1	H823_swab_1_S1	H825_swab_1_S1	H825_swab_2_S1	H827_chip_S1	H827_swab_1_S1	H827_swab_2_S1	H831_chip_2_S1	H831_chip_S1	H831_swab_1_S1	H831_swab_2_S1	H833_swab_1_S1	H834_swab_1_S1	H834_swab_2_S1	H835_chip_2_S1	H835_chip_S1	H837_swab_1_S1	H837_swab_2_S1	H838_chip_S1	H840_chip_S1	H840_swab_1_S1	H840_swab_2_S1	H841_chip_S1	H841_swab_1_S1	H841_swab_2_S1
c__Collembola	46	44	30	81	1031	254	14	5804	20	69	79	30	270	43	33	37	44	20	75	175	9	18	24	9	92	658	34	409	31	24	32	39	9	41	27	2073	1355	16	1023	52	100	27	71	34	13	0	26	45	18	58	237	8	27	164	225	10	4	228	111	23	103	54
c__Abditibacteria	9	37	4	18	43	14	2	56	17	88	5	3	10	10	2	6	12	57	12	14	8	98	22	0	8	38	0	14	1	2	1	10	20	4	14	25	25	12	37	29	15	28	0	2	12	0	0	9	0	32	12	20	67	0	8	4	3	10	13	67	49	62
c__Candidatus Polarisedimenticolia	35	6	4	1	10	0	25	8	2	4	4	19	4	93	247	2	9	0	11	6	3	121	19	0	9	9	0	2	2	2	1	3	35	6	5	2	8	0	16	45	5	4	0	0	1	1	3	5	4	12	5	3	11	0	2	9	2	0	2	6	12	13
c__Tichowtungiia	0	1	3	0	10	18	0	0	4	12	2	0	0	2	2	0	3	0	1	2	6	65	12	1	3	3	7	2	0	0	3	1	0	1	5	0	7	0	4	4	0	78	0	2	3	1	5	17	4	5	0	7	3	31	26	8	0	3	2	35	11	7
c__Fusobacteriia	85	71	40	43	601	97	160	125	33	453	191	287	417	848	624	29	21	50	97	11939	52	164	75	88	66	44	149	14	12	15	368	17	170	41	379	33	53	13	55	146	36	49	198	52	377	2	394	815	566	44	45	16	129	18	45	198	39	245	286	34	132	351
c__Deltaproteobacteria	10478	21695	14792	10507	20917	9419	2179	22656	9584	9810	25279	14384	8405	13148	18673	2968	6187	7158	18428	26604	6188	37046	28617	1801	11308	26503	6173	6924	3340	5757	4072	9337	22016	6243	8058	24162	10639	1048	25885	25950	11460	11208	4410	4562	2564	103	6395	10183	11810	12926	29033	6860	23041	5127	6293	23933	6735	10599	10896	11828	28074	16118
c__Udeonychophora	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
c__Actinomycetes	396111	247998	322709	89264	199789	51676	146675	297172	1284764	577300	304338	255107	177256	418400	596539	52195	31066	46517	268939	160326	984242	1550911	2282543	500370	665357	185642	957940	28783	251818	292436	372449	28888	595481	39651	135086	90016	65939	74341	153038	212887	91180	191078	13525	28530	25523	1465	173056	155421	198966	191264	412203	319569	1012171	17414	32941	521683	104482	72347	45443	117670	46822	76994
c__Thermoleophilia	878	1874	1571	5676	9339	2261	408	23541	1569	1331	1167	3160	1774	2214	1163	560	733	712	4440	8243	94159	205811	90101	1909	2043	11856	607	1486	457	886	539	2030	20225	1069	3376	6887	5136	3931	13927	11151	5191	7163	277	484	492	86	1187	1857	1174	9200	23391	44680	188730	1004	2343	27492	5586	729	1020	7477	1454	1382
c__Eurotatoria	252	1210	196	696	941	400	321	3037	377	1481	2138	712	340	369	332	371	258	495	1332	587	135	431	611	66	917	642	209	339	384	483	326	288	419	262	299	111783	842	33	843	572	450	109	252	156	234	0	203	364	671	418	771	72	256	85	118	386	112	487	1048	265	1254	1961
