#NAME	H800_swab_1_S1	H800_swab_2_S1	H801_swab_1_S1	H802_swab_1_S1	H802_swab_2_S1	H803_swab_1_S1	H803_swab_2_S1	H804_swab_1_S1	H804_swab_4_S1	H805_swab_1_S1	H805_swab_2_S1	H806_swab_1_S1	H806_swab_2_S1	H807_swab_1_S1	H807_swab_2_S1	H809_swab_1_S1	H809_swab_2_S1	H810_swab_1_S1	H813_swab_3_S1	H813_swab_4_S1	H814_chip_2_S1	H814_chip_S1	H815_chip_S1	H817_chip_S1	H817_swab_1_S1	H817_swab_2_S1	H818_swab_1_S1	H818_swab_2_S1	H819_swab_1_S1	H819_swab_2_S1	H820_swab_1_S1	H820_swab_2_S1	H821_chip_S1	H821_swab_1_S1	H821_swab_2_S1	H822_swab_1_S1	H822_swab_2_S1	H823_chip_S1	H823_swab_1_S1	H825_swab_1_S1	H825_swab_2_S1	H827_chip_S1	H827_swab_1_S1	H827_swab_2_S1	H831_chip_2_S1	H831_chip_S1	H831_swab_1_S1	H831_swab_2_S1	H833_swab_1_S1	H834_swab_1_S1	H834_swab_2_S1	H835_chip_2_S1	H835_chip_S1	H837_swab_1_S1	H837_swab_2_S1	H838_chip_S1	H840_chip_S1	H840_swab_1_S1	H840_swab_2_S1	H841_chip_S1	H841_swab_1_S1	H841_swab_2_S1
f__Cryptobasidiaceae	3590	2418	2685	3845	161	52	5517	204	45452	18913	3767	346	518	472	2515	54105	1991	105	1053	6855	4	1	6	2	6779	333	45	456	45638	897	30131	13117	39	673	176	76	31	1	67	151	163	0	226	462	65	2	64	35	107	43	24	0	0	3	2	1	13	9788	461	1	70	886
f__Reticulascaceae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Chromeraceae	12	57	2	32	43	9	8	130	78	60	24	12	8	15	24	79	42	15	235	215	3	32	29	2	51	101	21	15	68	40	46	19	13	40	17	103	82	1	97	69	34	6	31	35	7	0	20	8	9	11	16	0	16	6	6	7	3	21	6	21	18	24
f__Rhynochetidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Salisaetaceae	33	80	52	18	25	32	6	49	15	786	224	68	43	73	15	4	2	1	22	9	43	357	79	5	11	18	1	18	7	7	1	9	73	7	12	20	10	5	17	5745	161	356	4	7	274	1	4	9	2	60	99	51	139	27	14	383	206	274	689	1886	5605	1293
f__Oxyrrhinaceae	0	2	0	7	1	1	0	5	0	0	1	1	0	4	2	0	0	4	3	5	1	3	0	1	6	10	2	2	1	2	1	3	2	0	1	3	2	0	5	1	2	1	0	0	0	0	2	2	0	3	5	0	5	1	0	67	0	0	2	8	2	3
f__Gentianaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
f__Scincidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Gadidae	0	1	0	0	7	2	0	2	0	0	0	4	1	1	2	0	0	0	1	1	1	2	23	0	3	2	1	0	0	2	0	1	0	2	0	5	8	0	3	2	1	0	2	0	4	0	1	0	4	0	1	0	1	1	0	0	0	1	0	0	0	3
f__Struthionidae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
