#NAME	H800_swab_1_S1	H800_swab_2_S1	H801_swab_1_S1	H802_swab_1_S1	H802_swab_2_S1	H803_swab_1_S1	H803_swab_2_S1	H804_swab_1_S1	H804_swab_4_S1	H805_swab_1_S1	H805_swab_2_S1	H806_swab_1_S1	H806_swab_2_S1	H807_swab_1_S1	H807_swab_2_S1	H809_swab_1_S1	H809_swab_2_S1	H810_swab_1_S1	H813_swab_3_S1	H813_swab_4_S1	H814_chip_2_S1	H814_chip_S1	H815_chip_S1	H817_chip_S1	H817_swab_1_S1	H817_swab_2_S1	H818_swab_1_S1	H818_swab_2_S1	H819_swab_1_S1	H819_swab_2_S1	H820_swab_1_S1	H820_swab_2_S1	H821_chip_S1	H821_swab_1_S1	H821_swab_2_S1	H822_swab_1_S1	H822_swab_2_S1	H823_chip_S1	H823_swab_1_S1	H825_swab_1_S1	H825_swab_2_S1	H827_chip_S1	H827_swab_1_S1	H827_swab_2_S1	H831_chip_2_S1	H831_chip_S1	H831_swab_1_S1	H831_swab_2_S1	H833_swab_1_S1	H834_swab_1_S1	H834_swab_2_S1	H835_chip_2_S1	H835_chip_S1	H837_swab_1_S1	H837_swab_2_S1	H838_chip_S1	H840_chip_S1	H840_swab_1_S1	H840_swab_2_S1	H841_chip_S1	H841_swab_1_S1	H841_swab_2_S1
g__Jeongeupia	30	1	22	1	1	2	2	10	1	7	76	3	4	8	0	0	0	10	3	0	0	4	19	0	1	6	2	0	0	4	0	2	0	4	69	2	0	0	2	0	0	0	0	2	4	0	0	2	4	4	7	0	1	0	13	6	0	44	55	12	105	114
g__Elsinoe	39	353	113	4493	2316	240	130	3158	398	584	106	45	39	476	314	1167	783	6	728	1042	5	3	20	6	2125	1839	2389	542	1206	510	2769	3594	33	949	236	1860	764	0	1555	1328	1709	8	1696	1113	137	0	883	170	79	1567	2074	0	5	76	54	6	58	343	53	3	72	15
g__Chrysochromulina	4	34	9	22	16	6	4	4	25	6	24	39	4	4	19	30	6	2	27	23	4	48	13	4	23	22	0	7	25	1	20	9	10	4	6	16	8	0	21	6	9	4	10	5	1	0	4	9	38	13	24	8	25	7	6	10	5	5	10	3	1	7
g__Candidatus Galacturonibacter	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	1	0	0	13	0	1	0	0	0	0	0	0	0	0	27	0	69	3
g__Jiulongibacter	0	2	1	0	0	0	0	2	0	6	5	0	0	5	0	0	0	0	2	2	0	1	2	0	0	4	0	0	0	0	2	0	1	0	1	4	3	0	4	0	4	0	0	0	1	0	0	5	0	1	0	0	0	0	0	0	0	1	12	0	1	8
g__Wrangelia	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Chrysosporum	2	2	0	2	4	0	0	4	0	3	11	1	5	4	0	0	0	0	0	1	0	1	0	0	0	4	1	0	0	0	0	0	0	6	0	2	5	0	9	2	3	0	0	0	0	0	0	0	0	2	1	0	0	0	0	20	0	0	2	1	3	2
g__Microbaculum	104	10	127	2	3	0	2	16	0	13	29	1	6	3	11	6	1	35	0	5	2	16	8	0	1	0	1	2	2	0	0	3	2	1	16	2	0	0	2	5	2	0	0	1	1	0	1	2	3	2	1	0	11	0	2	0	0	4	8	0	21	26
g__Arcobacter	2	7	0	7	5	6	0	3	3	77	187	82	18	60	7	0	9	26	1	5	2	2	2	3	3	8	0	0	2	41	6	0	6	4	38	1	5	2	3	4	1	5	12	0	7	0	4	9	73	36	84	2	7	1	1	3	1	11	37	9	43	71
g__Alcyoneusvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
