#NAME	H800_swab_1_S1	H800_swab_2_S1	H801_swab_1_S1	H802_swab_1_S1	H802_swab_2_S1	H803_swab_1_S1	H803_swab_2_S1	H804_swab_1_S1	H804_swab_4_S1	H805_swab_1_S1	H805_swab_2_S1	H806_swab_1_S1	H806_swab_2_S1	H807_swab_1_S1	H807_swab_2_S1	H809_swab_1_S1	H809_swab_2_S1	H810_swab_1_S1	H813_swab_3_S1	H813_swab_4_S1	H814_chip_2_S1	H814_chip_S1	H815_chip_S1	H817_chip_S1	H817_swab_1_S1	H817_swab_2_S1	H818_swab_1_S1	H818_swab_2_S1	H819_swab_1_S1	H819_swab_2_S1	H820_swab_1_S1	H820_swab_2_S1	H821_chip_S1	H821_swab_1_S1	H821_swab_2_S1	H822_swab_1_S1	H822_swab_2_S1	H823_chip_S1	H823_swab_1_S1	H825_swab_1_S1	H825_swab_2_S1	H827_chip_S1	H827_swab_1_S1	H827_swab_2_S1	H831_chip_2_S1	H831_chip_S1	H831_swab_1_S1	H831_swab_2_S1	H833_swab_1_S1	H834_swab_1_S1	H834_swab_2_S1	H835_chip_2_S1	H835_chip_S1	H837_swab_1_S1	H837_swab_2_S1	H838_chip_S1	H840_chip_S1	H840_swab_1_S1	H840_swab_2_S1	H841_chip_S1	H841_swab_1_S1	H841_swab_2_S1
o__Mugiliformes	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Lobata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
o__Arenicellales	3	1	2	2	7	1	7	8	2	3	16	3	2	10	2	3	0	0	0	3	0	2	29	0	0	5	0	2	1	1	1	1	0	3	0	2	5	0	7	1	9	0	0	0	2	0	2	3	0	4	4	0	0	0	0	0	0	2	10	2	8	10
o__Urocystidales	19	69	0	19	0	0	20	1	130	65	11	0	0	19	17	164	19	15	119	136	0	0	0	0	28	0	2	2	139	63	82	34	0	63	19	0	0	0	1	0	0	0	2	21	0	0	13	2	2	0	0	0	0	0	0	0	0	26	2	0	0	0
o__Cantharellales	480	840	279	1516	736	316	416	681	4177	1648	404	102	89	391	650	4800	459	192	1442	1847	102	227	106	35	1275	1309	378	703	4222	1095	2885	1702	55	730	614	388	446	7	468	346	501	56	831	612	90	2	254	279	131	428	572	53	148	410	198	95	48	959	97	49	38	137
o__Dictyotales	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Caulochytriales	6	23	8	49	12	3	2	15	35	14	6	10	3	8	8	31	10	1	25	19	1	3	7	0	26	22	9	6	37	10	32	23	13	12	7	15	17	2	8	7	12	2	12	18	3	0	5	10	4	2	9	7	15	3	1	40	8	10	8	8	0	1
o__Squamata	5	57	20	41	104	85	1	49	17	21	8	4	9	30	14	62	20	12	113	100	40	7	19	14	46	68	23	41	29	26	508	36	14	52	21	56	83	0	64	29	39	2	47	21	44	0	18	19	7	21	38	0	4	11	11	9	4	21	7	17	20	22
o__Thelephorales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
o__Salmoniformes	116	42	120	28	48	40	23	51	47	153	935	87	128	99	30	73	74	807	32	54	166	68	49	14	27	64	15	12	49	557	32	43	9	277	970	57	79	0	51	23	20	10	25	36	218	0	8	26	28	6	22	8	31	10	64	9	0	1452	1544	6	886	2862
o__Charadriiformes	0	2	1	5	9	6	0	4	0	0	0	1	0	2	1	9	1	1	1	2	6	1	1	3	5	75	3	21	2	3	3	5	0	1	5	2	21	0	11	9	2	0	4	3	15	0	1	2	0	1	5	3	1	1	0	1	0	0	0	1	0	3
o__Osmeriformes	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	2	0	0	0	0	3	2	0	2	0	3	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0
o__Brachyspirales	21	24	74	16	11	7	5	15	22	70	95	66	66	49	16	8	8	34	14	33	14	14	21	5	3	19	11	8	1	11	3	5	52	12	22	18	24	2	23	32	11	3	8	16	1	0	58	79	66	32	19	0	11	3	2	53	8	6	29	25	41	38
o__Macrostomida	220	66	168	64	114	47	25	43	82	47	28	146	14	82	143	77	24	16	89	90	5	40	34	2	77	52	57	42	91	32	73	56	7	37	24	116	109	1	73	39	20	9	67	44	7	0	30	24	122	63	106	6	34	7	12	27	9	21	15	29	23	28
