#NAME	H800_swab_1_S1	H800_swab_2_S1	H801_swab_1_S1	H802_swab_1_S1	H802_swab_2_S1	H803_swab_1_S1	H803_swab_2_S1	H804_swab_1_S1	H804_swab_4_S1	H805_swab_1_S1	H805_swab_2_S1	H806_swab_1_S1	H806_swab_2_S1	H807_swab_1_S1	H807_swab_2_S1	H809_swab_1_S1	H809_swab_2_S1	H810_swab_1_S1	H813_swab_3_S1	H813_swab_4_S1	H814_chip_2_S1	H814_chip_S1	H815_chip_S1	H817_chip_S1	H817_swab_1_S1	H817_swab_2_S1	H818_swab_1_S1	H818_swab_2_S1	H819_swab_1_S1	H819_swab_2_S1	H820_swab_1_S1	H820_swab_2_S1	H821_chip_S1	H821_swab_1_S1	H821_swab_2_S1	H822_swab_1_S1	H822_swab_2_S1	H823_chip_S1	H823_swab_1_S1	H825_swab_1_S1	H825_swab_2_S1	H827_chip_S1	H827_swab_1_S1	H827_swab_2_S1	H831_chip_2_S1	H831_chip_S1	H831_swab_1_S1	H831_swab_2_S1	H833_swab_1_S1	H834_swab_1_S1	H834_swab_2_S1	H835_chip_2_S1	H835_chip_S1	H837_swab_1_S1	H837_swab_2_S1	H838_chip_S1	H840_chip_S1	H840_swab_1_S1	H840_swab_2_S1	H841_chip_S1	H841_swab_1_S1	H841_swab_2_S1
p__Candidatus Parvarchaeota	1	0	0	0	1	0	1	1	0	4	0	0	10	0	0	1	0	0	0	0	0	3	10	0	0	1	0	0	0	0	0	2	6	0	0	0	4	0	1	7	5	17	0	0	2	0	0	0	0	7	18	0	0	4	2	0	10	0	1	42	2	0
p__Candidatus Gracilibacteria	5	7	4	4	17	3	24	9	3	54	27	16	16	27	7	4	3	2	3	20	4	5	7	1	2	7	1	0	5	4	7	2	118	4	44	0	11	0	13	52	25	13	2	1	3	0	3	26	10	5	4	5	57	3	0	62	41	4	9	30	8	24
p__Ctenophora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
p__Elusimicrobia	273	296	321	150	285	161	57	271	101	254	353	599	378	446	351	38	197	145	388	454	174	1127	724	38	184	396	135	84	60	73	102	103	1031	112	195	197	173	27	469	669	273	374	306	35	46	1	214	372	577	471	1073	240	902	77	100	892	308	109	223	344	294	249
p__Candidatus Amesbacteria	27	10	10	7	10	8	10	21	4	29	7	39	26	121	197	0	6	1	13	20	8	76	30	1	4	12	11	1	0	1	31	0	49	1	31	3	6	6	21	32	8	88	39	0	9	2	15	38	10	14	8	6	25	4	4	125	17	5	1	42	9	11
p__Dicyemida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Acidobacteria	19904	36800	16458	35858	53722	13296	3633	79564	25362	16925	13652	17302	7158	27460	41232	13749	53649	13718	112081	145701	7537	35497	49310	1893	37230	135331	12772	21205	22730	15283	13029	41755	27170	24071	22426	85618	56201	1167	144797	53121	33407	10324	3950	3736	2205	102	12053	11358	15778	54590	39514	7513	25156	3807	9103	23461	7998	13473	9584	12671	14850	10760
p__Candidatus Wolfebacteria	3	14	10	2	8	5	24	12	1	22	5	69	33	92	11	0	0	9	8	13	2	17	17	3	7	13	0	1	0	2	1	3	7	3	3	5	5	0	5	6	6	1	1	0	0	0	6	25	33	1	9	7	19	2	3	0	1	3	13	5	5	15
p__Lenarviricota	0	0	1	4	10	6	0	36	6	4	0	0	4	0	12	2	7	0	17	26	55	5	8	2	12	36	1	17	27	36	19	19	0	26	47	23	30	0	8	3	8	0	0	5	0	0	2	3	0	2	0	0	3	5	8	0	0	0	2	0	1	3
p__Candidatus Andersenbacteria	0	4	1	0	1	0	0	4	1	1	2	3	1	0	0	0	1	3	8	8	0	4	28	1	1	5	2	2	0	0	1	0	1	1	2	0	4	1	3	1	0	4	0	0	5	0	1	4	0	2	1	0	15	2	1	4	0	0	0	0	3	6
