nummber	sample	contig	reads
305	33860	contig_58328	4340
341	33906	contig_58328	3556
342	33906	contig_87822	887
321	33881	contig_58328	525
360	33943	contig_112733	343
398	34000	contig_105398	264
423	34020	contig_58328	184
399	34000	contig_140828	144
413	34011	contig_58328	133
346	33915	contig_58328	130
352	33926	contig_69605	113
435	34039	contig_105398	102
429	34031	contig_23429	93
344	33908	contig_58328	59
351	33925	contig_58328	46
376	33964	contig_128541	38
381	33969	contig_58328	36
404	34007	contig_115141	34
314	33869	contig_58328	32
343	33907	contig_58328	32
312	33866	contig_58328	22
302	33855	contig_58328	20
366	33949	contig_23429	18
392	33988	contig_23429	18
396	33996	contig_58328	17
405	34007	contig_147529	14
438	34042	contig_115141	14
348	33916	contig_58328	13
418	34015	contig_58328	13
368	33955	contig_58328	12
408	34009	contig_115141	12
441	34044	contig_58328	12
390	33984	contig_58328	8
303	33856	contig_58328	6
307	33861	contig_58328	6
335	33901	contig_23429	6
370	33960	contig_58328	6
377	33964	contig_58328	6
421	34018	contig_23429	6
430	34031	contig_58328	6
322	33884	contig_58328	5
337	33902	contig_58328	5
389	33984	contig_115141	5
406	34007	contig_88794	5
415	34012	contig_58328	5
309	33863	contig_58328	4
311	33865	contig_58328	4
331	33898	contig_128541	4
358	33942	contig_58328	4
371	33961	contig_115141	4
372	33961	contig_58328	4
375	33963	contig_58328	4
412	34011	contig_139115	4
422	34018	contig_58328	4
437	34041	contig_23429	4
440	34043	contig_58328	4
320	33880	contig_58328	3
357	33941	contig_58328	3
362	33943	contig_87822	3
383	33974	contig_58328	3
385	33976	contig_58328	3
304	33859	contig_58328	2
306	33861	contig_149391	2
308	33862	contig_58328	2
315	33871	contig_58328	2
319	33877	contig_58328	2
325	33887	contig_158425	2
347	33916	contig_115141	2
350	33922	contig_58328	2
359	33943	contig_104891	2
361	33943	contig_58328	2
363	33943	contig_96545	2
369	33960	contig_147529	2
373	33963	contig_115141	2
374	33963	contig_147529	2
378	33965	contig_58328	2
380	33969	contig_115141	2
382	33970	contig_58328	2
384	33975	contig_58328	2
393	33988	contig_58328	2
397	33997	contig_58328	2
403	34006	contig_115141	2
407	34008	contig_96545	2
409	34009	contig_147529	2
411	34009	contig_98183	2
414	34012	contig_23429	2
419	34015	contig_98183	2
431	34036	contig_115141	2
432	34036	contig_58328	2
433	34038	contig_105398	2
434	34039	contig_102265	2
436	34039	contig_58328	2
313	33867	contig_58328	1
326	33890	contig_58328	1
327	33891	contig_58328	1
330	33896	contig_58328	1
332	33898	contig_58328	1
336	33901	contig_58328	1
345	33909	contig_58328	1
349	33917	contig_58328	1
354	33932	contig_58328	1
356	33939	contig_58328	1
410	34009	contig_58328	1
416	34013	contig_58328	1
427	34024	contig_58328	1
439	34042	contig_58328	1
