# genbank accession	Genus/species/strain	Genus/species	Body site
KP202969	Achromobacter xylosoxidans	Achromobacter xylosoxidans	Ear
KP202970	Achromobacter xylosoxidans	Achromobacter xylosoxidans	Ear
KP202971	Achromobacter xylosoxidans	Achromobacter xylosoxidans	Ear
KP313532	Achromobacter xylosoxidans A22732	Achromobacter xylosoxidans	Ear
KT321316	Achromobacter xylosoxidans	Achromobacter xylosoxidans	Ear
KT321317	Achromobacter xylosoxidans	Achromobacter xylosoxidans	Ear
DQ123818	Actinomyces naeslundii	Actinomyces naeslundii	Mouth
HE608841	Bacteroides fragilis	Bacteroides fragilis	Appendix
KM236239	Citrobacter freundii	Citrobacter freundii	Mouth
KM236240	Citrobacter freundii	Citrobacter freundii	Mouth
KM236241	Citrobacter freundii	Citrobacter freundii	Mouth
KP313531	Citrobacter freundii P10159	Citrobacter freundii	Mouth
KR869820	Citrobacter freundii	Citrobacter freundii	Mouth
KT001915	Citrobacter freundii	Citrobacter freundii	Mouth
KT001916	Citrobacter freundii	Citrobacter freundii	Mouth
KT363872	Citrobacter freundii	Citrobacter freundii	Mouth
KU687347	Citrobacter freundii CF5	Citrobacter freundii	Mouth
KU687348	Citrobacter freundii CF5	Citrobacter freundii	Mouth
KU687349	Citrobacter freundii CF3	Citrobacter freundii	Mouth
KU687350	Citrobacter freundii CF3	Citrobacter freundii	Mouth
KU687351	Citrobacter freundii CF3	Citrobacter freundii	Mouth
KY654690	Citrobacter freundii	Citrobacter freundii	Mouth
KY694971	Citrobacter freundii	Citrobacter freundii	Mouth
EU719189	Clostridium difficile	Clostridium difficile	Gut
GU949551	Clostridium difficile	Clostridium difficile	Gut
HG796225	Clostridium difficile	Clostridium difficile	Gut
HM568888	Clostridium difficile	Clostridium difficile	Gut
JX145341	Clostridium difficile	Clostridium difficile	Gut
JX145342	Clostridium difficile	Clostridium difficile	Gut
KU057941	Clostridium difficile AIU	Clostridium difficile	Gut
KX228399	Clostridium difficile strain CD105HE1 ribotype 076	Clostridium difficile	Gut
KX228400	Clostridium difficile strain CD105HE1 ribotype 076	Clostridium difficile	Gut
LN681534	Clostridium difficile	Clostridium difficile	Gut
LN681535	Clostridium difficile	Clostridium difficile	Gut
LN681536	Clostridium difficile	Clostridium difficile	Gut
LN681537	Clostridium difficile	Clostridium difficile	Gut
LN681538	Clostridium difficile	Clostridium difficile	Gut
LN681539	Clostridium difficile	Clostridium difficile	Gut
LN681540	Clostridium difficile	Clostridium difficile	Gut
LN681541	Clostridium difficile	Clostridium difficile	Gut
LN681542	Clostridium difficile	Clostridium difficile	Gut
AY082070	Clostridium perfringens	Clostridium perfringens	Gut
CP000315	Clostridium perfringens SM101	Clostridium perfringens	Gut
EU588980	Clostridium perfringens	Clostridium perfringens	Gut
GQ443085	Clostridium perfringens	Clostridium perfringens	Gut
JF767208	Clostridium perfringens	Clostridium perfringens	Gut
JF767209	Clostridium perfringens	Clostridium perfringens	Gut
JF767210	Clostridium perfringens	Clostridium perfringens	Gut
JN800508	Clostridium perfringens	Clostridium perfringens	Gut
JQ660954	Clostridium perfringens strain S63	Clostridium perfringens	Gut
JQ729990	Clostridium perfringens	Clostridium perfringens	Gut
JQ729991	Clostridium perfringens	Clostridium perfringens	Gut
JQ729992	Clostridium perfringens	Clostridium perfringens	Gut
KC237729	Clostridium perfringens 5147-97	Clostridium perfringens	Gut
KY996523	Clostridium perfringens	Clostridium perfringens	Gut
HQ641380	Enterobacter cloacae	Enterobacter cloacae	Gut
JQ267518	Enterobacter cloacae	Enterobacter cloacae	Gut
KJ101592	Enterobacter cloacae clinial isolate EC7	Enterobacter cloacae	Gut
