number	sample	contig	 Reads 	 length 	ref	coding	family
891	33974	contig_5776	" 770,467 "	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
780	33862	contig_5621	" 472,628 "	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
868	33897	contig_5776	" 428,609 "	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1149	33866	contig_7648	" 418,162 "	" 47,634 "	Fohxhuevirus	11	Intestiviridae
1881	33954	contig_7377	" 358,593 "	" 35,885 "	Aurodevirus hiberniae	TAG	Suoliviridae
1269	33959	contig_1091	" 286,441 "	" 145,297 "	Epsilon_2_3	11	Epsilon
903	34013	contig_5776	" 216,236 "	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
2137	34000	contig_241570	" 181,343 "	" 182,976 "	Zeta_2	11	Zeta
909	34024	contig_5776	" 181,184 "	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
115	33981	contig_13525	" 181,027 "	" 18,525 "	Burzaovirus coli	TAG	Suoliviridae
911	34028	contig_5776	" 177,385 "	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1282	33981	contig_1091	" 152,406 "	" 145,297 "	Epsilon_2_3	11	Epsilon
514	33867	contig_3100	" 145,949 "	" 58,218 "	Afonbuvirus coli	TAG	Suoliviridae
1300	34043	contig_1091	" 140,307 "	" 145,297 "	Epsilon_2_3	11	Epsilon
384	33887	contig_239060	" 134,162 "	" 10,591 "	Carjivirus communis	11	Intestiviridae
129	34039	contig_13525	" 115,418 "	" 18,525 "	Burzaovirus coli	TAG	Suoliviridae
1872	33940	contig_7377	" 112,691 "	" 35,885 "	Aurodevirus hiberniae	TAG	Suoliviridae
877	33929	contig_5776	" 111,239 "	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1254	33925	contig_1091	" 101,649 "	" 145,297 "	Epsilon_2_3	11	Epsilon
502	34031	contig_240585	" 98,380 "	" 10,264 "	Dabirmavirus	11	Intestiviridae
216	33879	contig_1857	" 94,301 "	" 141,010 "	Epsilon_1	11	Epsilon
386	33890	contig_239060	" 94,261 "	" 10,591 "	Carjivirus communis	11	Intestiviridae
244	33943	contig_1857	" 90,796 "	" 141,010 "	Epsilon_1	11	Epsilon
736	33862	contig_5617	" 89,328 "	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
326	33960	contig_2345	" 81,607 "	" 17,956 "	Epsilon_1_1	11	Epsilon
2038	33965	contig_17442	" 70,591 "	" 75,857 "	Buchavirus	TAG	Suoliviridae
556	34039	contig_3100	" 64,593 "	" 58,218 "	Afonbuvirus coli	TAG	Suoliviridae
1740	33880	contig_9107	" 63,931 "	" 49,452 "	Jahgtovirus	11	Intestiviridae
242	33941	contig_1857	" 61,051 "	" 141,010 "	Epsilon_1	11	Epsilon
490	34012	contig_240585	" 60,815 "	" 10,264 "	Dabirmavirus	11	Intestiviridae
671	33957	contig_3411	" 59,593 "	" 77,979 "	Epsilon_1_4	11	Epsilon
380	33880	contig_239060	" 58,495 "	" 10,591 "	Carjivirus communis	11	Intestiviridae
639	33879	contig_3411	" 58,005 "	" 77,979 "	Epsilon_1_4	11	Epsilon
674	33960	contig_3411	" 56,095 "	" 77,979 "	Epsilon_1_4	11	Epsilon
545	34000	contig_3100	" 55,576 "	" 58,218 "	Afonbuvirus coli	TAG	Suoliviridae
323	33957	contig_2345	" 55,459 "	" 17,956 "	Epsilon_1_1	11	Epsilon
1244	33898	contig_1091	" 55,117 "	" 145,297 "	Epsilon_2_3	11	Epsilon
473	33980	contig_240585	" 52,545 "	" 10,264 "	Dabirmavirus	11	Intestiviridae
407	33949	contig_239060	" 50,874 "	" 10,591 "	Carjivirus communis	11	Intestiviridae
377	33872	contig_239060	" 50,690 "	" 10,591 "	Carjivirus communis	11	Intestiviridae
468	33973	contig_240585	" 48,605 "	" 10,264 "	Dabirmavirus	11	Intestiviridae
1828	33880	contig_239525	" 46,841 "	" 28,967 "	Zeta_8_1	11	Zeta
263	33976	contig_1857	" 46,547 "	" 141,010 "	Epsilon_1	11	Epsilon
1070	33861	contig_7091	" 46,400 "	" 66,998 "	Kingevirus communis	11	Crevaviridae
206	33857	contig_1857	" 46,220 "	" 141,010 "	Epsilon_1	11	Epsilon
895	33980	contig_5776	" 41,964 "	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
393	33901	contig_239060	" 41,496 "	" 10,591 "	Carjivirus communis	11	Intestiviridae
1365	33879	contig_2405	" 40,490 "	" 18,695 "	Epsilon_1	11	Epsilon
478	33988	contig_240585	" 37,647 "	" 10,264 "	Dabirmavirus	11	Intestiviridae
893	33976	contig_5776	" 32,698 "	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1781	33954	contig_18456	" 32,243 "	" 44,008 "	Birpovirus	11	Suoliviridae
1231	33861	contig_1091	" 31,968 "	" 145,297 "	Epsilon_2_3	11	Epsilon
1178	33866	contig_10809	" 31,954 "	" 99,263 "	Blohavirus	TAG	Suoliviridae
1469	33906	contig_3469	" 30,381 "	" 56,074 "	Junduvirus communis	11	Crevaviridae
508	34041	contig_240585	" 30,275 "	" 10,264 "	Dabirmavirus	11	Intestiviridae
807	33936	contig_5621	" 29,949 "	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
701	34007	contig_3411	" 29,772 "	" 77,979 "	Epsilon_1_4	11	Epsilon
424	33997	contig_239060	" 29,408 "	" 10,591 "	Carjivirus communis	11	Intestiviridae
339	33984	contig_2345	" 27,828 "	" 17,956 "	Epsilon_1_1	11	Epsilon
436	34039	contig_239060	" 27,591 "	" 10,591 "	Carjivirus communis	11	Intestiviridae
878	33931	contig_5776	" 27,306 "	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1964	33949	contig_16647	" 25,298 "	" 21,983 "	Zeta	TAG	Zeta
266	33981	contig_1857	" 24,186 "	" 141,010 "	Epsilon_1	11	Epsilon
469	33974	contig_240585	" 24,012 "	" 10,264 "	Dabirmavirus	11	Intestiviridae
1464	33895	contig_3469	" 23,933 "	" 56,074 "	Junduvirus communis	11	Crevaviridae
852	33866	contig_5776	" 23,854 "	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
41	33855	contig_12149	" 23,686 "	" 59,357 "	Asinivirinae	11	Steigviridae
2134	33943	contig_241129	" 22,925 "	" 32,233 "	Steigviridae	11	Steigviridae
348	34007	contig_2345	" 21,854 "	" 17,956 "	Epsilon_1_1	11	Epsilon
